sample_SRR10767134	sample_SRR10767128	sample_SRR10767131	sample_SRR10767125	sample_SRR10767121	sample_SRR10767118	sample_SRR10767115
ENSOARG00020000265	23.07984	22.5754	28.0585	22.67533	19.85423	18.60622	16.50521
ENSOARG00020000266	47.419714	69.9099	60.28474	64.947363	58.0214	57.219753	64.53561
ENSOARG00020000267	0	0	0	0.0382182	0	0	0
ENSOARG00020000268	0	0	0	0	0	0	0
ENSOARG00020000269	14.73847	17.2315	0.897205	17.94024	16.48772	14.0252	15.53359
ENSOARG00020000270	0	0	0	0	0	0	0
ENSOARG00020000271	10.08818	13.84274	3.137655	12.96667	10.87177	9.53526	8.98167
ENSOARG00020000272	0	0.341602	0	0	0.173243	0	0.44906
ENSOARG00020000274	143.949	139.653	125.157	136.091	142.417	159.583	168.465
ENSOARG00020000275	0	0	0	0	0	0	0
ENSOARG00020000276	31.21	29.6196	14.959	29.748	29.482	27.9667	29.8253
ENSOARG00020000278	0	0	0	0	0	0	0
ENSOARG00020000279	0.0662591	0	0	0	0	0	0
ENSOARG00020000280	0	0	0	0	0	0	0
ENSOARG00020000281	0	0.354464	0	0.111228	0.309935	0.173352	0
ENSOARG00020000282	190.71679	197.587491	120.92535	222.08862	134.746277	137.463066	146.032845
ENSOARG00020000284	0.0437984	0.138759	0.31033	0.19573	0.015262	0.0337924	0.0458926
ENSOARG00020000285	2.01956	2.16403	0.397597	1.95775	1.83562	3.25819	1.72662
ENSOARG00020000286	2.13487	3.85605	0.870791	3.25868	2.75368	3.71177	3.52077
ENSOARG00020000287	12.9213164	13.193079	10.883721	15.418278	12.0575345	11.067615181854	10.666552
ENSOARG00020000288	0	0	0	0	0	0	0
ENSOARG00020000289	58.67246	65.82453	51.26354	58.64756	51.86945	53.69373	63.56276
ENSOARG00020000290	0	0	0	0	0.0588425	0	0
ENSOARG00020000291	0.051497	0	0	0	0	0	0
ENSOARG00020000293	1.79209	2.18732	0.380213	1.94706	2.43231	1.65675	1.31728
ENSOARG00020000294	3.56339	3.57469	2.44481	3.92145	3.75265	3.54316	6.60515
ENSOARG00020000295	0.055979	0.124818	0	0	0	0	0.0602001
ENSOARG00020000296	37.3044	36.3943	41.1925	33.7529	47.4161	49.4671	54.3772
ENSOARG00020000297	0	0	0	0	0	0	0
ENSOARG00020000298	5.33204	5.548872	1.811221	6.0936	6.05507	6.48722	5.348947
ENSOARG00020000299	0.174936	0.95398023	0	0.277481	0.352655	0.396113	0.226292
ENSOARG00020000300	136.591	121.589	22.0057	108.9159	157.007	119.6941	137.1132
ENSOARG00020000301	0	0	0	0	0	0	0
ENSOARG00020000302	5.09053	6.64306	4.58177	8.38773	5.32667	4.50751	4.72749
ENSOARG00020000304	49.11493	56.45228	50.55822	59.74654	49.84279	51.61692	46.39788
ENSOARG00020000306	16.386704	15.46481	10.13611	18.08561	16.8423	17.1562	18.459073
ENSOARG00020000307	452.5415	562.23187	303.2343	454.374	535.2484	418.4064	464.0182
ENSOARG00020000308	0	0	1.9181	0	0	0	0
ENSOARG00020000309	293.113	266.491	289.059	225.931	279.099	318.137	341.704
ENSOARG00020000311	60.93322	71.4974	22.76171	54.2488	70.85702	65.35316	67.34653
ENSOARG00020000312	0.942099	0.585703	0	0.53558	0.787566	0.565378	0.445733
ENSOARG00020000314	11.059187	13.150256	0.873167	12.275168	10.085986	8.489506	11.262556
ENSOARG00020000315	0	0	0	0	0.0734575	0	0
ENSOARG00020000316	141.4305	140.3167	67.63566	140.128	139.694	146.74	132.308
ENSOARG00020000318	57.0547	54.4711	20.826	53.8405	57.653	60.4935	61.2734
ENSOARG00020000319	243.655	179.244	127.202	183.758	249.198	232.948	231.606
ENSOARG00020000320	11.0036	14.2086	8.04652	12.2914	9.79236	10.5251	10.7639
ENSOARG00020000321	0	0	0	0	0.0590665	0	0.0613411
ENSOARG00020000322	0.962692	1.13349	0.188294	0.966098	0.831156	0.437881	0.748268
ENSOARG00020000324	23.0752	23.373	26.6642	22.4135	25.4182	22.9674	26.5276
ENSOARG00020000325	2.161104	2.450814	0.277222	1.62954	1.664988	1.753487	1.23707
ENSOARG00020000326	33.7219	34.7155	17.0124	37.7355	32.199	32.7969	28.8963
ENSOARG00020000328	0	0	0	0	0	0	0
ENSOARG00020000329	0.514003	0.244208	0.454771	0.3007906	0.496104	0.380528	0.31549
ENSOARG00020000330	0	0	0	0	0	0	0
ENSOARG00020000331	0	0	0	0	0	0	0
