sample_SRR6798308	sample_SRR6798310	sample_SRR6798312	sample_SRR6798314	sample_SRR6798316	sample_SRR6798318
ENSBTAG00000000161	0.843413	0.2351359	0.0738422	0.38863	0.244492	0.0641784
ENSBTAG00000000162	68.0648	54.4766	55.3782	58.2473	65.5097	85.9372
ENSBTAG00000000163	61.2531	48.2819	38.8955	54.555	61.7051	62.6006
ENSBTAG00000000164	0.282457	0	0.301485	0.142148	0.149544	0
ENSBTAG00000000168	0	0.310844	0	0	0	0
ENSBTAG00000000169	0.339886	0.275688	0.392601	0.124433	0.032528	0.113689
ENSBTAG00000000170	0.2554735	0.1473968	0.2304511	0.876395	0.2805164	0.808148
ENSBTAG00000000172	0.0643684	0	0.0340815	0.0324026	0.0677678	0
ENSBTAG00000000175	2.66197	1.44116	1.92756	1.47431	1.98513	2.75022
ENSBTAG00000000176	12.57924	12.34965	13.87924	11.3311	14.55115	16.6592
ENSBTAG00000000177	36.816001	32.951922	97.904086	104.676762	102.25815	78.66892
ENSBTAG00000000179	4.640219	5.978493	6.65191	7.94168	7.48351	5.292982
ENSBTAG00000000181	6.649949	5.803239	5.027762	8.360155	7.685671	5.68872
ENSBTAG00000000182	50.98041	55.966339394	55.13942	60.28939	62.50229	93.6967
ENSBTAG00000000184	12.2247	13.90618	12.5036	10.0905	12.46427	11.4389
ENSBTAG00000000185	0.941655	0.549348	0.603961	0.4822926	0.737619	1.826351
ENSBTAG00000000186	10.309	9.9143	13.49427	12.12675	12.68525	13.49823
ENSBTAG00000000188	10.706450262514	19.81413596	15.417722	6.775006	11.56623	6.925311
ENSBTAG00000000189	38.3604	31.295	53.1239	33.625	38.6006	30.7259
ENSBTAG00000000191	19.6258	22.0372	22.7519	19.9403	25.4052	24.7665
ENSBTAG00000000195	3.87874	2.94783	3.41659	3.46804	3.85392	4.48763
ENSBTAG00000000197	3.63754	3.21001	3.42152	2.11351	4.00951	3.77492
ENSBTAG00000000198	0	0	0	0	0.726655	0
ENSBTAG00000000199	28.40512	72.4709	77.9289	20.85421	29.02853	21.71255
ENSBTAG00000000201	6.36345	5.63937	6.25767	3.99141	6.17805	4.1824
ENSBTAG00000000202	6.46434	7.32949	7.03056	6.93056	8.08682	4.69141
ENSBTAG00000000203	136.451	145.139	122.732	126.824	142.296	159.755
ENSBTAG00000000204	12.63673	10.26337	8.62361	9.25993	9.53798	11.33446
ENSBTAG00000000205	63.292615	68.64704	56.46796	55.21836	55.190788994	72.85813
ENSBTAG00000000207	9.264788	7.66641	8.89028	8.524471	9.911141	7.171261
ENSBTAG00000000210	8.511474	7.679464	4.227855	5.554947	6.517174	4.818058
ENSBTAG00000000211	7.767646	6.266339	10.142951	13.860338	9.9556972996	8.158823
ENSBTAG00000000212	23.440467	25.023652	26.672026	30.348005	30.572343	27.73481
ENSBTAG00000000213	8.747195	6.108873	6.502612	6.11909	7.975365	7.36886
ENSBTAG00000000214	0.121292	0	0	0.0610665	0	0
ENSBTAG00000000215	213.42115	258.8053	246.454600007843	259.9568	256.89534	219.763
ENSBTAG00000000218	18.87949	15.92643	18.70836	15.17327	16.90999	14.56919
ENSBTAG00000000219	0.251078	0.629171	0.651475	0.252755	0.227997	0.104573
ENSBTAG00000000220	2.08767	2.74059	2.06907	2.26388	2.67285	4.11139
ENSBTAG00000000221	8.530064	7.55714	7.10575	5.74835	7.88265	7.6543
ENSBTAG00000000222	14.019432	10.63875	14.96915	10.83451	13.29796	14.20047
ENSBTAG00000000223	64.1092	58.9803	62.1985	49.5637	57.7607	56.5949
ENSBTAG00000000224	43.27173	44.33965	72.90966	79.40784	66.3623	50.26492
ENSBTAG00000000225	27.70655	33.19575	21.49116	17.77234	23.68891	26.72644
ENSBTAG00000000226	0	0.230885	0	0.0954268	0.200239	0.52969
ENSBTAG00000000228	0.061322	0	0.130194	0.0617474	0.129356	0
ENSBTAG00000000229	0	0	0	0	0	0
ENSBTAG00000000231	13.0712	12.1365	13.9404	11.735	13.8655	16.4173
ENSBTAG00000000232	0	0	0	0	0.0637273	0.559098
ENSBTAG00000000233	0	0	0	0.0624437	0	0
ENSBTAG00000000236	145.234	270.354	163.704	90.2115	145.012	115.373
ENSBTAG00000000237	0.0746323	0.0607766	0.237947	0	0.157564	0
ENSBTAG00000000238	71.7828	53.9652	65.099	76.872	72.0002	62.0093
ENSBTAG00000000240	9.34179	9.39845	9.81486	5.98106	7.38443	9.04603
ENSBTAG00000000241	36.7824	37.4209	39.7209	31.7059	37.4186	35.8595
ENSBTAG00000000242	2.5348	3.06391	1.86853	0.977894	4.44041	1.09341
ENSBTAG00000000243	5.21015	5.86718	5.644	6.10692	9.21425	9.38542
ENSBTAG00000000244	34.56388208173	44.55421508908	60.4571019334	69.081902833	62.3681832086	32.95757324
ENSBTAG00000000245	2.3303814	2.254522	1.8369993111574	2.9900193	2.0384542	2.2090228
ENSBTAG00000000246	20.9192	32.04953	30.0262	31.5367	25.073	12.6039000008229
ENSBTAG00000000250	25.9343	18.6205	28.5069	20.8952	25.4174	23.0594
ENSBTAG00000000251	53.6801	51.5373	77.3178	83.0386	85.6196	71.0275
ENSBTAG00000000252	35.0867	34.774	33.066	30.1923	36.2155	35.6685
ENSBTAG00000000253	8.598692	7.345315	10.880201	11.552351	11.806608	8.71474
ENSBTAG00000000256	17.08785	16.45017	18.84929	24.8574	24.57791	18.33808
ENSBTAG00000000257	15.1192519	6.66461	4.76259	6.344856	8.02391	5.31428
ENSBTAG00000000259	0	0	0	0	0	0.0665858
ENSBTAG00000000260	8.549971	8.560162	8.315192	7.777987	8.380935	9.91436
ENSBTAG00000000261	1.44031	0.318719	0.78648	0.57128	0.689756	0.482997
ENSBTAG00000000264	0	0	0	0	0	0.0264432
ENSBTAG00000000265	48.714855	11.32098	19.79391	14.59159	44.458876	66.585823
ENSBTAG00000000266	13.409728	10.84949	11.47796	10.2376	11.53274	11.93871
ENSBTAG00000000267	7.46797	6.82057	8.77166	8.21399	9.43398	7.69713
ENSBTAG00000000269	13.4144	10.7193	10.1046	8.78701	10.8955	14.7457
ENSBTAG00000000271	6.78247	5.02005949	4.0495	4.50772	7.29938	20.59330366292
ENSBTAG00000000273	0.2586515	0.2767805	0.2590178	0.186541	0.1402069	0.251826
ENSBTAG00000000274	32.453	34.8958	33.2708	32.1202	36.2697	32.5825
ENSBTAG00000000275	13.18935	11.28598	12.96717	11.83449	13.31878	12.97035
ENSBTAG00000000277	13.879	9.44282	5.09371	6.35919	10.81764	8.0497
ENSBTAG00000000278	0	0	0	0	0	0
ENSBTAG00000000279	27.2785	24.0494	15.4634	21.615213	25.0576	13.732371
ENSBTAG00000000281	3.1930465	0.501492	1.075484	1.304245	1.321042	1.467506
ENSBTAG00000000283	12.4594	11.5604	16.1391	15.9988	17.178423	13.1829
ENSBTAG00000000284	5.43993	1.85651	1.84672	1.98526	3.1481	3.33047
ENSBTAG00000000285	9.78441	6.427	7.84499	7.83817	7.92331	9.05049
ENSBTAG00000000286	170.140014	218.169891	213.199573	170.004719	200.25906	147.125797
ENSBTAG00000000287	18.24793	20.12817	20.60205	15.64315	19.23134	21.17767
ENSBTAG00000000288	18.0073897	11.6121	11.315	9.96031	14.559	14.4177
ENSBTAG00000000289	29.87595	25.669284	26.52419	23.7508	26.879158	27.67787
