sample_SRR5570209	sample_SRR5570210	sample_SRR5570211	sample_SRR5570212	sample_SRR5570213	sample_SRR5570214	sample_SRR5570215	sample_SRR5570216
ENSPANG00000000320	1.09909	1.36515	1.88726	0	1.60734	0.452771	0.433395	1.45628
ENSPANG00000000321	0	0.41373	0	0	0	0	0	0.8827
ENSPANG00000000325	2.3662	24.5682	3.26495	3.71103	10.0027	32.8982	2.33262	31.352
ENSPANG00000000336	33.2088	0	0	0.023821	0	0	0	0
ENSPANG00000000337	0	0	0	0	0	0	0	0
ENSPANG00000000339	544.112	725.543	725.364	231.965	582.872	482.061	568.386	559.908
ENSPANG00000000341	1.34507	3.13252	2.11168	3.37527	1.57366	3.92492	3.2129640578	1.87132528874
ENSPANG00000000344	11.3099	13.6284	8.07457	11.0133	12.3432	13.5601	4.99225	16.7748
ENSPANG00000000345	222.16909	622.160825	58.8856	507.5539	291.93498	43.8584	608.7836	147.208329
ENSPANG00000000346	25.6059	35.283	32.78	7.22861	34.3751	32.6342	29.9755	39.2289
ENSPANG00000000347	0.909956	0.706395	0.837054	2.2834	2.07929	0	2.69112	1.31872
ENSPANG00000000348	0.296396	0.460182	1.67225	1.78503	0.70437	0.854707	0.116876	0.343633
ENSPANG00000000349	0	0	0	0	0	0	0	0
ENSPANG00000000351	154.889893	80.5913	142.0742	188.7076	96.5303	103.1393	128.379	120.1476
ENSPANG00000000352	0.541121	5.54493	0.398215	2.71573	1.28595	4.23541	0.426753	4.48114
ENSPANG00000000354	5.09911	23.4198	11.1262	3.45759	10.3477	12.7742	12.544	16.8619
ENSPANG00000000355	1.10854655	3.00968	2.26436	0	4.04986	2.85202	0	3.057722
ENSPANG00000000356	0	0.091556	0	0	0	0	0	0
ENSPANG00000000357	6.15542	3.18562	2.51657	4.80546	4.87602	1.127	5.39383	2.83191
ENSPANG00000000360	5.78489	32.0751	6.43006000057083	5.67045000856174	18.25839	36.5843	5.7919	29.04299
ENSPANG00000000361	1.12395	7.1382	1.88641	0.890646	1.892406	7.13482	1.28294	7.50735031
ENSPANG00000000363	1.42879	3.65371	1.44317	1.47631	0.960249	2.76984	1.2428	3.20162
ENSPANG00000000364	1.14823	2.852383	1.97165	0	2.03582	6.62224	1.19766	5.89543
ENSPANG00000000367	0.807044	0	0	0	0.442592	0	0.954708	0.133666
ENSPANG00000000368	1.150571513917	3.146567	0.466073	0.6357	2.083954	1.56541	1.13424	3.9160432225
ENSPANG00000000369	0	1.21259	0	0	0.713858	1.07246	0	1.07795
ENSPANG00000000370	0.032068	0.497885	0.0786635	0	0	0.0660524	0.232572	0.293068009
ENSPANG00000000372	0	6.18323	0	0	0	1.57739	0	0
ENSPANG00000000373	2.40127	0.981104	2.17014	0	1.3862	2.34286	0.249178	2.72117
ENSPANG00000000375	1.06927	5.90272	1.02003	0	3.25778	8.19797	0.702729	9.19921
ENSPANG00000000376	14.60479298	39.6953	33.85738	4.83277	28.602538	38.6136125307	19.30209	34.6818
ENSPANG00000000379	8.46338	46.3191	10.1209	2.6547	19.2425	79.536	4.38022	66.4951
ENSPANG00000000381	7.90231	13.8353	5.5679	6.44369	16.44350160279	15.2379	3.64645	9.60725
ENSPANG00000000383	16.17641	27.14392	21.21422	23.1064	17.970205	23.58003	14.9655	25.96775
ENSPANG00000000384	0.554458	4.30423	0.680049	0	0.337857	2.2841	1.45757	2.6019
ENSPANG00000000386	4.96164	4.59501	4.53745	1.96587	5.56934	5.55813	3.68987	6.99224
ENSPANG00000000387	6.75177	10.4827	12.0016	0.491089	12.0742	16.7288	8.8746	14.667
ENSPANG00000000393	28.5057	103	28.8176	11.2715	65.5316	104.619	22.4809	109.733
ENSPANG00000000394	2.24476	3.65461	1.37661	5.63289	5.47134	1.54122	5.90107	3.098222
ENSPANG00000000397	0.163275	1.52099	0.200259	0.819429	0.596945	14.1249	0	0
ENSPANG00000000398	1.23298	6.09102	1.37479	1.68763	1.53678	5.77194	0.883989	4.09604
ENSPANG00000000399	1.01606	8.20316	2.36781	2.54966	2.13601	10.8233	2.00328	5.04854
ENSPANG00000000403	0.795677	3.0884	1.78916	0.67344924973	1.51513	3.68754	1.96096	2.1963900105618
ENSPANG00000000405	59.6599	46.6246	45.7168	44.209	56.0275	59.6057	56.9113	39.7898
ENSPANG00000000406	87.32508146242	68.562305935408	72.25840285534	19.89039636172	103.59965688802	79.4399807733	61.9132043515	79.5555610019849
ENSPANG00000000407	0	1.32493	0	1.71313	0.623997	1.40619	1.00951	1.97874
ENSPANG00000000408	0	0	0	0	0	0	0	0
ENSPANG00000000410	2.97332	10.156	0.729363	0	4.89181	2.44973	0	19.2057
ENSPANG00000000411	0.969068	4.68087	2.11302	1.98267	2.06674	3.9921	2.54751	4.1017
ENSPANG00000000417	0	0	0.520973	0	0	0	0	0.105844
ENSPANG00000000418	42.42507	55.02012	72.16536	19.49213	55.64828	49.67674	41.14764	39.77437
ENSPANG00000000419	33.6932	27.5325	44.1215	27.9708	29.6385	31.83	46.9505	30.6293
ENSPANG00000000420	1.00554	4.82551	0.728773	1.14693	1.79639	6.02523	2.16277	4.2771
ENSPANG00000000422	67.9537	43.1115	70.0698	70.9403	46.7598	42.7006	68.7143	49.1947
ENSPANG00000000423	8.95622	19.7884	5.06996	3.45759	5.98219	15.6096	2.03749	14.2631
ENSPANG00000000424	4.66010435	6.2057	4.4257	16.1289	5.722362	4.748775	5.677279	12.41819
ENSPANG00000000426	20.4685	36.3191	16.6409	3.52202	32.8202	39.5102	15.22	67.3173
ENSPANG00000000427	0.537111	1.38958	1.36212	3.95629	1.01397	1.40302	1.55531	0.948384
ENSPANG00000000429	69.785	44.2239	73.7535	19.8545	49.0264	54.4328	47.4234	67.2165
ENSPANG00000000430	22.8745	85.5583	40.3834	12.1758	50.6854	107.796	24.5998	127.147
ENSPANG00000000432	5.30807	13.0977	13.1371	10.4656	5.80469	13.4715	7.28846	8.71296
ENSPANG00000000433	1.13655	3.21779	1.47599	1.67765	1.83322	3.02955	0.659069	4.04162
ENSPANG00000000435	1.51321	1.1747	0.154664	0	1.26784	1.15993	0.248622	3.02837
ENSPANG00000000436	0	0	0	0	0	0	0	0
ENSPANG00000000437	0.118683	0	0	0	0	0.244458	0	0.196568
ENSPANG00000000438	0.873604	3.46623	1.30959	0.487152	2.30675	3.59883	0.765516	7.07374
ENSPANG00000000440	1.783	9.25187	5.1219	0.470967	5.44663	14.497	1.7577	11.0352
ENSPANG00000000441	42.9916	31.7744	40.2663	69.8998	43.1922	31.69353	56.8822	32.31202
ENSPANG00000000442	448.639	372.763	539.482	403.42	453.658	421.351	410.307	448.494
ENSPANG00000000443	23.1184	26.8555	38.1466	40.066	27.6674	24.6656	34.7592	19.558
ENSPANG00000000445	3.41199	10.4367	4.49715	1.02232	5.39941	9.23066	2.61053	13.6638
ENSPANG00000000446	1.39549	6.61639	0.79483191999122	0	3.30814	8.82837	1.39616	3.36817200091537
ENSPANG00000000448	581.581	507.799	525.384	869.468	609.302	530.775	592.087	617.373
ENSPANG00000000449	4.74369	8.92729	3.34987	2.88572	8.01471	8.58653	5.95174	14.2849
ENSPANG00000000451	1.651304	6.93377	2.899898	0.1883455	4.39073	9.1988	0.96191	10.53583
ENSPANG00000000452	70.075	119.8	74.6008	10.125795	118.025	141.79311	50.8401	169.9892
ENSPANG00000000453	47.86016	38.09423	45.88337	42.5664	54.81963	50.7762344957	47.18089	38.763155616
ENSPANG00000000455	26.60307	30.14058	25.3222	19.5888	20.4592	28.93274	22.47902	27.22715
ENSPANG00000000456	0	0	0	0	0	0	0	0
ENSPANG00000000458	0.6734157	1.10687	0.825931	0	1.3079408	1.907142	0.995756	1.18503834478
ENSPANG00000000459	152.10578	77.3395	141.622	33.5246	153.337	135.232	133.96	149.79286
ENSPANG00000000460	35.5984	56.4713	48.8823	9.70967	67.9046	77.3092	27.4642	74.3403
ENSPANG00000000463	0	0	1.04984	0	0	0	0	0
ENSPANG00000000464	4.10285	13.2301	3.09674	0	8.36557	14.3015	4.977995	20.13015
ENSPANG00000000465	3.4765	1.34939	3.19798	0	2.38319	1.79019	1.71358	1.43948
ENSPANG00000000468	0.407892	0	0.500285	0	0.372821	0.42008	0	0.168892
ENSPANG00000000469	0	0.183112	0	0	0.215598	0.485855	0.465063	0.0976683
ENSPANG00000000470	21.07598	22.74763	24.59557	50.9942	20.40706	25.43265	29.60414	23.58638
ENSPANG00000000472	3.63961	27.0257	4.65812	10.3243	17.3566	27.7053	3.74395	30.4025
ENSPANG00000000473	11.72503	39.426245	18.9803	6.09725	21.67732	27.3433	16.28707	30.286974
ENSPANG00000000476	0	0	0.203195	0	0	0	0	0
ENSPANG00000000478	1.24434	0.772781	0.61048	0	0.454941	1.02522	0	0.824372
ENSPANG00000000479	6.06521	7.80248	7.6516	0	4.43497	7.53465	2.73332	7.20282
ENSPANG00000000482	0.210795	3.60006000475888	0.258543	0	1.15602	3.4735	0.415607	2.22777
ENSPANG00000000483	13.569	13.75854	12.37696	0	15.07219	25.2088	11.0159	27.22486
ENSPANG00000000487	4.7613	9.47814	11.3742	31.2779	6.08969	8.12303	9.71459	5.9032
ENSPANG00000000488	0	2.24324	1.30383	4.57294	1.372089	1.78561	1.49708	2.01218
ENSPANG00000000491	0.0674745	0.10433	0.327913	1.51902	0.0616493	0.690357	0.333577	0.0551038
ENSPANG00000000492	0	0	0	0	0	0.217907	0	0.175218
ENSPANG00000000494	0	0	0	0	0	0	0	0
ENSPANG00000000495	0	0	0	0	0	0	0	0
ENSPANG00000000499	15.884807	21.46832	22.523564	36.51	22.3355	23.0446	21.6261	22.978626
ENSPANG00000000501	0	0	0	0	0	0	0	0
ENSPANG00000000502	4.23891	2.15388	3.68662	0.386797	2.46555	2.38122	3.19104	1.72325
ENSPANG00000000505	2.70626	0.948488	2.03609	0.848869	4.54061	3.42463	1.98723	15.601
ENSPANG00000000507	0.288967	3.627671	0.742056	1.69571	0.370592	3.1506064	1.0052584631	2.702278
ENSPANG00000000509	0	0.314375	0.248349	0	0	0	0	0.503044
ENSPANG00000000510	4.34563	8.240255	4.84542	3.99325896	9.920919	13.01955	6.23119	10.11707
ENSPANG00000000513	5.71105	4.55329	8.70851	0	2.68055	3.49723	1.52162	5.87985
ENSPANG00000000514	45.6064	20.5572	36.4491	25.1035	22.3217	21.8179	33.0667	18.031
ENSPANG00000000518	7.64867	10.90215	10.2198	14.56665	8.3791	14.36267	6.92703	16.65187
ENSPANG00000000519	81.4889	175.715	223.042	116.26	174.927	195.541	125.197	185.617
ENSPANG00000000522	0.0618537	1.29645	0.151729	0	0.169607	1.08293	0.365855	0.512224
ENSPANG00000000523	9.63356	18.6501	14.879	7.16267	16.306	14.2084	13.3659	14.7736
