sample_ERR2928440	sample_ERR2928435	sample_ERR2928431	sample_ERR2928429	sample_ERR2928424	sample_ERR2928423	sample_ERR2928419	sample_ERR2928417
ENSFDAG00000000184	17.1235	26.744	19.3004	22.9287	26.5322	25.1893	27.6113	23.2278
ENSFDAG00000000187	0	0	0	0	0	0	0	0
ENSFDAG00000000188	15.7864	18.4565	20.2017	21.0024	17.3684	19.6507	15.4956	23.1124
ENSFDAG00000000190	89.3315	45.2261	107.644	46.3888	71.1761	73.2062	83.7492	49.8253
ENSFDAG00000000193	31.4262	30.3531	34.5309	35.2753	35.7605	35.9039	42.7117	34.9879
ENSFDAG00000000195	1.06646	3.03302	1.02347	2.97786	1.92227	2.50816	1.87894	1.43377
ENSFDAG00000000197	71.4258	53.4535	80.7133	68.129	66.6475	72.0866	66.6734	57.5161
ENSFDAG00000000198	9.95277	11.94496	7.29826	6.15382	9.5727	9.86484	6.14209	5.2509
ENSFDAG00000000201	0.357498	0.333382	0.727367	2.09558	1.21424	3.322	1.31594	1.67763
ENSFDAG00000000202	155.323	173.252	190.702	177.454	201.406	204.645	191.284	152.899
ENSFDAG00000000203	6.82321	9.93368	12.2477	9.02504	12.0485	12.5667	12.5908	7.92602
ENSFDAG00000000204	1.92497	4.28379	3.50655	6.16966	4.95313	4.70723	5.21461	6.93466
ENSFDAG00000000205	0.123772	1.37065	0.0572336	0	0.0750699	0	0.13603	0
ENSFDAG00000000207	0.898939	0	0.899364	0.760504	1.269087	1.45203	0.671465	0
ENSFDAG00000000210	3.807	2.12021	4.09857	3.16372	1.59293	3.51583	2.64926	4.48507
ENSFDAG00000000217	0	0	0.201205	0	0	0	0	0
ENSFDAG00000000218	107.397	85.7894	118.265	92.1115	105.436	102.45	107.88	99.9138
ENSFDAG00000000219	1.45884	1.07071	1.14929	1.10164	1.76962	2.24614	1.56268	1.09873
ENSFDAG00000000220	0	0	0	0	0	0	0	0
ENSFDAG00000000222	1.75113	4.1959	1.16962	0.867794	1.41611	1.30843	1.61998	0.456529
ENSFDAG00000000223	0	1.19813	0	0.190937	0.545269	0	0.13132	0.482334
ENSFDAG00000000225	0	0	0	0	0	0	0	0
ENSFDAG00000000228	0	0	0	0	0	0	0	0
ENSFDAG00000000230	56.25123	62.9827600005565	63.97001	52.28798127149	61.36371	56.52716	55.8133000115916	51.32295
ENSFDAG00000000233	36.8831	32.8409	36.0003	36.7074	35.3555	32.4835	33.0074	46.353
ENSFDAG00000000234	8.62149	8.20867	9.06889	8.72203	6.86565	8.12726	10.5554	8.33869
ENSFDAG00000000235	21.47672	27.0133	22.7317000009309	31.05923	25.1000000309366	31.03822	29.10307	28.82448
ENSFDAG00000000236	13.5179	14.2256	9.02897	15.312	15.6006	17.7906	14.4801	15.4184
ENSFDAG00000000237	14.2352	16.64	13.9199	17.734	16.9779	17.9649	13.6974	20.5232
ENSFDAG00000000239	13.9597	14.9441	12.2515	13.2509	11.0587	12.3658	14.3569	14.9289
ENSFDAG00000000241	72.1075	47.2396	67.7203	69.4494	56.2782	70.0529	82.0573	50.7131
ENSFDAG00000000244	388.633	336.689	400.969	280.944	321.468	305.522	385.833	242.291
