sample_SRR8750789	sample_SRR8750790	sample_SRR8750791	sample_SRR8750792
ENSG00000006638	1.382604	2.469264	2.2877503	3.716256
ENSG00000006652	24.8798147	19.5622336	85.2234976	31.284909537
ENSG00000006659	0.824847	1.31215	2.53735	4.176414
ENSG00000006695	5.8547854	4.8858022	5.9111516	5.539469734
ENSG00000006704	17.447261	16.1113671	16.267565	13.688137
ENSG00000006712	75.2713044	32.525466	63.544786	54.8816546
ENSG00000006715	24.778491	24.273563	40.947683	31.664333
ENSG00000006740	21.81705	22.9023794	11.735301	15.529058494
ENSG00000006744	32.5806678	17.2867739	28.523744	23.538824
ENSG00000006747	8.0164732	4.5383846	37.157336	13.11002
ENSG00000006756	7.735314	10.573184	10.515984	10.110701
ENSG00000006757	12.420318	19.32565	38.70156	12.345622
ENSG00000006788	0.014952900224432	0.0225107	0.11539001149	0.253343
ENSG00000006831	23.2651347	9.6065226	24.5008314	42.2759989
ENSG00000006837	16.5968924	14.139904	13.981119	9.509919
ENSG00000007001	1.0340704	1.611354	2.2399912	1.049669
ENSG00000007038	0.1608472	0.0817486	0.6076887	0.6775748
ENSG00000007047	31.326049	36.565620065475	32.969883	34.805626
ENSG00000007062	2.387303	2.0468739	5.47099	4.8424538
ENSG00000007080	262.911913	119.413536	184.84737	159.035314
ENSG00000007129	2.874247	4.0778187	3.214079	3.360815
ENSG00000007168	90.408872656017	74.4875516359147	67.8554690010252	69.0654850001015
ENSG00000007171	0.337074	0.376919	0.380689	0.745369
ENSG00000007174	9.200377556462	20.6579360551986	34.5772955	8.612082
ENSG00000007202	23.2482411	20.4756593	39.7094792	25.0326678
ENSG00000007216	0	0	0.0171187	0.0157081
ENSG00000007237	27.4648658	21.44773085	22.6472452	68.7736207
ENSG00000007255	60.984995	29.02525	26.944599	48.229479
ENSG00000007264	32.249314	28.5606918	9.0450758	15.436516
ENSG00000007306	0	0	0.0619926	0.160152
ENSG00000007312	0.7461916	0.3759054328	1.155333	2.7763424
ENSG00000007314	0.025315	0.06524	0.059384	0.339658
ENSG00000007341	12.8993338	13.318846	14.623519	12.82305
ENSG00000007350	0.100746	0.6066492	0.104383	0.3506468
ENSG00000007372	12.6746059427526	6.98693974003	37.59943980942	12.2993024779234
ENSG00000007376	17.417828	14.00563	16.270967	14.186573
ENSG00000007384	6.8681284722	5.2550926	10.69366662167	22.354817
ENSG00000007392	112.916719	107.700916	90.506316	68.1628858
ENSG00000007402	14.2536018	24.674965	7.8862257	6.378312509234
ENSG00000007516	108.275005	200.703794	236.144053	27.4999277
ENSG00000007520	109.85647	47.70923	96.6142	90.43471
ENSG00000007541	61.1577184	50.984131	56.70387	45.014594
ENSG00000007545	3.4980103	4.2423664	8.434263	5.313381
ENSG00000007866	1.0171194	1.610184	4.608896	4.872715
ENSG00000007908	0.1068324	5.22890410051071	0.525449	0.3139391
ENSG00000007923	19.9731767	17.5813082	27.5124057	25.4267564
ENSG00000007933	1.4810102	3.36308	3.246938	4.668354
ENSG00000007944	11.15285	5.98598	9.288227	10.43344
ENSG00000007952	0.420949	0.443712	0.981481	0.210291
ENSG00000007968	0.0715829	0.150924	0.3156652	0.484895
ENSG00000008018	154.28444	115.05111	131.82504	137.78405
ENSG00000008056	128.10773	111.4995987	31.379034	50.88444
ENSG00000008083	5.299812	6.2839979	5.32568	5.748062
ENSG00000008086	5.8432803	11.4144938	14.237254	14.4258049
ENSG00000008118	6.7851778	18.7803017	4.716019	1.5314417
ENSG00000008128	39.854514	26.79087459549	47.105162	20.349588
ENSG00000008130	21.5645145	20.4100068	40.47928	25.407658
ENSG00000008196	0.0884324	0.297873	0.888574	1.698409
ENSG00000008197	0.0113957	0.1140848	0.2162818	0.340053
ENSG00000008226	2.4077209	6.344711	19.53183	3.7786772
ENSG00000008256	7.291547	7.703469	13.441132363	8.599887
ENSG00000008277	9.73217305	13.0281447	9.0456946	8.4706698
ENSG00000008282	38.427633	15.501593	47.945159	48.031814
ENSG00000008283	31.6753239	64.8763795336	56.0503100054343	16.6395104
ENSG00000008294	44.1919181	36.2647939	70.435775	55.247685
ENSG00000008300	4.45694	10.594776	3.00963323337	2.8552818
ENSG00000008311	11.6055911	7.88637861904004	10.6063050078612	19.4458138932687
ENSG00000008323	0.3618764	0.6832557	1.558298	1.1306181
ENSG00000008324	25.355683	21.880624	25.977791	23.14758
ENSG00000008382	24.853137	15.095399	18.152859	18.511485
ENSG00000008394	143.480884	97.2407796	788.265238	136.73057
ENSG00000008405	5.219207	8.9642457	17.311043	6.319351
ENSG00000008438	0.321829	0.637801	0.331497	10.0299
ENSG00000008441	65.2246899	36.9658236	117.5990322	81.477651
ENSG00000008513	3.70257	5.1006163	8.635282	5.683952
ENSG00000008516	4.177753	4.751325	4.096168	5.264659
ENSG00000008517	13.4429429	16.6347172681633	15.882179	19.8959450047174
ENSG00000008710	62.9185897	101.5626299939	101.699711	60.44378748845
ENSG00000008735	72.060206629	70.00432	35.6368	41.560422
ENSG00000008838	45.7207013061683	46.193566	51.11681105368	39.2275817351
ENSG00000008853	12.595675	11.176576	19.0154075	13.2000014
ENSG00000008869	7.4221184	10.713293	16.46705	14.6670422
ENSG00000008952	594.289552	417.11234	290.50011	359.51103
ENSG00000008988	1384.565643	947.7520907	1787.901897	1389.065725
ENSG00000009307	124.6467278	99.3940766160437	239.461037009106	155.3750746
ENSG00000009335	10.0416334	11.061491	16.604684	11.8619488
ENSG00000009413	12.4384787	17.19499286294	17.952385	16.3447370088539
ENSG00000009694	1.948562	6.370032	1.427812	0.60246909
ENSG00000009709	0.3487057	0.134505	0.0402756	0.16167
ENSG00000009724	0.559242	1.149237	1.55582	2.284288
ENSG00000009765	0.3745373	0.514332	1.1504363	1.2363322
ENSG00000009780	8.100023	9.4004993	10.61906	9.452837
ENSG00000009790	3.4813807	1.5827322	9.7138342	4.49458596444
