sample_SRR11526905	sample_SRR11526906	sample_SRR11526907	sample_SRR11526952	sample_SRR11526976	sample_SRR11526977	sample_SRR11526978	sample_SRR11527019
ENSSSCG00000000179	7.24399	12.7214	7.84933	4.05008	5.49783	5.51988	5.86485	5.65373
ENSSSCG00000000182	1.158832	2.362722	1.30161	2.59458	1.826807	1.774009	1.742318	2.10307
ENSSSCG00000000183	0	0	0	0	0.106891	0	0	0.0914821
ENSSSCG00000000184	2.20762	18.252	27.4446	9.7557	4.95538	49.2628	167.79	13.9643
ENSSSCG00000000185	45.5846	52.3176	35.0828	42.7481	46.65311	45.854	42.8703	46.4967
ENSSSCG00000000186	0.849606	1.47285	1.85424	3.02065	3.09795	2.26813	1.51649	2.38654
ENSSSCG00000000188	1.33963	1.70702	5.0005	0.693387	0.920651	2.18636	0.928065	0.729415
ENSSSCG00000000189	13.653041	33.743374	34.35072	24.811044	17.695163	15.421486	13.928514	28.6758
ENSSSCG00000000190	3287.401	3113.211	1557.6351	3342.317	2779.166	2863.03	2121.276	4492.689
ENSSSCG00000000194	170.529624	193.76685	20.094712	192.8078	145.9137	136.54298	241.02774	16.53808
ENSSSCG00000000195	5.79495	9.29187	4.350015	1.507452	5.3947	2.388493	1.075076	3.553936
ENSSSCG00000000197	2.90583	0.769599	0.366718	1.13823	7.12201	1.45774	0.422932	1.67512
ENSSSCG00000000198	3.829	9.77883	8.54414	3.32974	2.35031	1.77553	2.58626	3.03976
ENSSSCG00000000199	14.068985	18.22726	19.90771	9.39312	14.565628	13.274088	13.171274	13.67748
ENSSSCG00000000202	25.227	34.0668	28.6103	35.123	26.2158	23.4917	27.0515	39.1321
ENSSSCG00000000203	0.841693	2.29303	4.89497	2.09572	1.23174	5.47617	15.149	2.0307
ENSSSCG00000000204	10.4063	26.983210157715	16.922026	17.619360739004	9.769972	9.25956681	8.382624944	15.9833952082
ENSSSCG00000000205	2.55139	8.30724	9.27738	2.545393	2.115126	2.82908	2.105235	4.53463
ENSSSCG00000000206	252.227	384.7685	127.8379	459.294	260.1745	236.8177	245.6738	286.1721
ENSSSCG00000000207	1.56778	3.14541	3.62116	0.500433	0.247204	0.269202	0	0.501854
