sample_SRR1205288	sample_SRR1205289	sample_SRR1205290	sample_SRR1205291	sample_SRR1205292	sample_SRR1205293	sample_SRR1205294
ENSRNOG00000000394	15.76202	16.85614	15.67965	15.58592	15.78797	22.12637	15.18873
ENSRNOG00000000395	72.7787	66.0294	70.3343	69.1735	65.9545	67.1656	67.7493
ENSRNOG00000000396	33.91447	30.70664	32.86662	32.99388	29.37898	31.5409	33.5001
ENSRNOG00000000397	33.7503	30.6791	32.4902	33.462	34.2886	32.8383	32.7216
ENSRNOG00000000398	28.6136	22.7491	27.1932	22.175	26.3182	27.3413	24.7388
ENSRNOG00000000401	0	0	0	0	0	0	0
ENSRNOG00000000405	0.191627	0.226462	0.468738	0.233792	0.0938878	0.191783	0.662193
ENSRNOG00000000406	0.0527314	0.124117	0.0343529	0.0285089	0.0579422	0.0699952	0.155805
ENSRNOG00000000407	4.97579	4.88175	5.16704	3.38707	2.58864	2.54171	4.31194
ENSRNOG00000000408	28.0827	25.3512	27.287	27.0388	27.9362	28.1594	25.6346
ENSRNOG00000000410	0.176093	0.138678	0.0861371	0	0.0862096	0.0880716	0
ENSRNOG00000000411	40.3835	43.7734	38.8222	41.3098	39.8874	41.401	41.1623
ENSRNOG00000000412	34.7931	22.5463	29.015	30.1805	25.22	26.2251	22.2294
ENSRNOG00000000413	0.523187	0.308647	0.511655	0.79697	0.383334	0.391902	0.838598
ENSRNOG00000000414	2.8538214	2.90833	2.788	2.59858	2.515021	2.18903	2.070655864
ENSRNOG00000000415	21.02255	18.75405	18.46332	18.70737	21.72693	21.8794	19.5348
ENSRNOG00000000417	40.8569	36.2345	36.0165	35.4473	39.6334	35.9961	35.017
ENSRNOG00000000418	5.11409	4.4047	5.59636	5.04428	5.5883	3.64727	4.38322
ENSRNOG00000000419	2.114565105	1.588416	0.750046	0.402427	0.478385	0.8121156	2.748413
ENSRNOG00000000420	50.33804	36.64383	42.17996	39.49076	39.02264	38.18639	36.77894
ENSRNOG00000000421	15.3073	18.0471	18.0906	16.1699	16.7879	16.7081	15.6942
ENSRNOG00000000422	13.6341	12.3789	13.5684	13.3353	12.3729	11.0219	11.9978
ENSRNOG00000000423	26.8895	26.6732	22.7282	33.6007	27.5648	30.8192	30.475
ENSRNOG00000000428	1.439144	1.494685	1.85991	1.97818	1.48768	2.96347	2.40158
ENSRNOG00000000431	72.96553	85.07004217	77.1583	79.86949	76.16506	80.99731	77.20696
ENSRNOG00000000432	17.0625	17.4999	15.5086	15.2807	17.6015	18.084	15.2945
ENSRNOG00000000433	121.8718	129.8597	118.9785	123.7051	121.9879	131.6073	129.7531
ENSRNOG00000000435	41.924222	38.1387662	39.3275700149145	39.141396	40.531546567	35.74508	35.5622471741
ENSRNOG00000000436	5.964731	6.942871	5.644208	6.295725	5.4719	6.34843	5.42976
ENSRNOG00000000437	124.176612	124.39272	125.98053	123.901118	118.355035	108.9936	110.308487
ENSRNOG00000000438	80.70104	81.92771	80.58417	88.4105	82.52488	80.26834	81.24411
ENSRNOG00000000439	10.878518	13.55977	11.30459	12.538716	11.800864	13.54445	10.9764590928
ENSRNOG00000000440	36.904	36.7085	37.60246	38.44762	38.62846	35.31259	37.49708
ENSRNOG00000000441	3.27007	3.43976	6.28317	3.25389	2.61759	4.61395	2.99185
ENSRNOG00000000442	5.89442	5.57451	6.54114	5.39383	5.22923	6.32125	6.18893
ENSRNOG00000000443	10.258986	8.4619293	8.79649	9.26264	7.40051	5.96408	7.41336
ENSRNOG00000000446	0.0666841	0	0	0	0	0	0
ENSRNOG00000000451	0.289795	1.962081	1.208952	1.078881	0.856128	1.56287	3.0598547
ENSRNOG00000000454	0.576111	2.159719	1.382756	0.730571	1.71011	1.377663	2.018263
ENSRNOG00000000455	7.99967	5.75373	8.9769	8.67091	9.51523	5.53085	8.52636
ENSRNOG00000000456	4.10041	4.705068	8.357942	8.224993	12.256912	8.372624	15.345917
ENSRNOG00000000457	6.090221	3.700573	5.55068	5.259126	5.571998	4.456781	3.744314
ENSRNOG00000000459	12.04023	8.40141	8.38167	10.67396	7.38856	8.56821	5.2706
ENSRNOG00000000461	71.05703	66.84105	63.48427	65.608772	68.54598	59.44852	65.5902
ENSRNOG00000000463	111.869911	103.6814	113.9392	105.5391	109.0103	120.291568	121.2684
ENSRNOG00000000464	104.84157	102.45481	103.80466	98.88726	96.15603	110.89453	99.27234
ENSRNOG00000000465	84.909116	93.11843	85.31081	96.25046	86.6518	86.26	86.04489
ENSRNOG00000000466	48.29482	59.62599	64.10032	57.43316	57.59931	56.75682	57.13388
ENSRNOG00000000467	33.6987	26.4	29.0742	28.2645	27.1944	26.7196	29.2477
ENSRNOG00000000470	113.41947	112.01652	120.27899	116.2112	118.24087	100.12497	117.80287
ENSRNOG00000000471	2.8285	3.45826	4.19909	3.25275	3.82362	3.61212	3.17801
ENSRNOG00000000473	183.905522	161.35851	156.07874	181.151589	186.39153	178.001346	182.210644
ENSRNOG00000000474	99.35784	110.62784	105.76253	98.14392	98.661066	105.83841	100.78563
ENSRNOG00000000476	15.0915	20.9203	19.1394	18.5233	18.33	17.046	18.91
ENSRNOG00000000477	41.93346	40.61739	38.771075	40.958259171	44.20077	41.48976	40.30936
ENSRNOG00000000479	1.09282	1.416987	1.38304	0.887799	1.13423	1.09138	0.824274
ENSRNOG00000000480	60.185366	49.394168	54.723533	55.143108	52.075860703141	50.5804002024	47.4755100245485
ENSRNOG00000000481	122.68065	131.15577	118.92012	124.3307	139.47499	148.03577	141.13115
ENSRNOG00000000483	45.58245	59.15677	47.08616	44.12563	42.54388	32.5733	40.38209
ENSRNOG00000000485	17.63405	13.68718	16.7111	15.20886	16.05382	15.00626	15.57369
ENSRNOG00000000486	1.33762	0.878942	1.20001	1.0886	1.64099	1.11677	1.21121
ENSRNOG00000000488	279.651	288.868	243.534	276.809	227.192	246.955	248.224
ENSRNOG00000000490	247.578	229.351	233.801	294.405	235.212	279.304	246.545
ENSRNOG00000000491	0.0875355	0.344675	0.164579	0.427052	0.0823314	0.525345	0.166044
ENSRNOG00000000493	17.6131	27.7486	17.6243	31.6029	23.0209	30.2851	28.5334
ENSRNOG00000000495	8.80548	7.24239	10.5678	6.87697	8.10536	3.99882	5.1937
ENSRNOG00000000498	17.03302	14.25319	15.32181	15.16876	15.03251	12.42117	14.35351
ENSRNOG00000000499	0.783424	0.431656	0.306526	0.127357	0.2299	0.939761	0.23192
ENSRNOG00000000500	2.17652	1.78648	1.9861	1.45297	1.2736	1.06153	1.23975
ENSRNOG00000000501	26.6129	32.0123	29.5278	27.9142	29.8815	27.9754	32.038400144491
ENSRNOG00000000502	2.19948	1.11404	1.10817	1.3905	1.64183	2.3059	1.6412
ENSRNOG00000000503	13.81794	22.9629	18.18116	16.37133	18.73554	13.76928	18.73395
ENSRNOG00000000504	24.1256	17.9728	20.5904	19.875	20.2786	18.8597	19.3346
ENSRNOG00000000505	333.187	316.488	330.865	341.381	272.295	333.934	319.479
ENSRNOG00000000506	3.36629	3.35867	3.31757	3.53638	3.00937	3.25243	2.52851
ENSRNOG00000000507	0	0	0.0822893	0	0	0	0
ENSRNOG00000000508	0	0	0	0	0.122294	0	0
ENSRNOG00000000510	0	0.715527	0	0.367677	0	0	0.445405
ENSRNOG00000000511	43.617008	34.868861	39.9478	39.018088	35.0324	34.1316	34.166788
ENSRNOG00000000512	4.167366	3.795740061604	3.800673	3.44507201704	3.748966	5.19527	3.160679
ENSRNOG00000000513	43.1416	35.4234	38.8771	36.0821	40.6887	34.1743	34.6382
ENSRNOG00000000515	1.30183	1.11814	0.769364	0.891691	0.796279	0.471632	1.13819
ENSRNOG00000000516	0	0	0	0	0	0	0
ENSRNOG00000000517	22.5398000819862	17.1086246499	24.11062	16.018348516	17.230731	14.2268300193302	16.04755
ENSRNOG00000000519	55.62057	56.11149	55.061997	49.80429	56.67008	65.311641	52.76836
ENSRNOG00000000520	92.8748	86.0954	94.505	90.5266	93.3965	81.9971	84.3046
ENSRNOG00000000521	14.28682	18.90435	12.93106	13.34585	14.40436	12.80268	15.73399
ENSRNOG00000000522	28.2808	16.3458	20.2445	21.3394	18.4377	17.478	14.1241
ENSRNOG00000000523	44.6954	30.7097	35.0461	38.963758	36.7049	38.9037	35.9713
ENSRNOG00000000524	71.16409	69.008538	77.050519	67.795584	62.2485	65.5149	64.167982
ENSRNOG00000000525	18.288099	10.316006	10.597893	15.29578	11.760972	11.48195	11.460806
ENSRNOG00000000527	759.16945	684.99066	704.1049	700.839	668.74833	634.661774	602.63373
