sample_ERR1709728	sample_ERR1709727	sample_ERR1709726	sample_ERR1709725
ENSMUSG00000000753	13.618857	15.339254	19.364759	10.23451
ENSMUSG00000000759	53.1723891347	52.915111	42.723919	59.953956
ENSMUSG00000000766	14.150177	15.0828500052139	15.3931189	20.164932
ENSMUSG00000000776	25.633958	25.41834	20.568364	24.504087
ENSMUSG00000000782	1.68546	1.831498	1.885052	2.293478
ENSMUSG00000000787	188.59692	187.01764	266.53786	261.78991
ENSMUSG00000000791	0.759277	1.240072	1.578639	0.540733
ENSMUSG00000000792	12.4957	12.327	11.0017	11.7986
ENSMUSG00000000794	13.2076	12.78016	14.10147	18.81691
ENSMUSG00000000804	68.8755370162871	69.78367	71.997586	78.5331440037078
ENSMUSG00000000805	17.544361	14.254073	14.301848	10.865528
ENSMUSG00000000811	8.73874	7.872014	7.714698	6.40504
ENSMUSG00000000817	0.979982	0.357989	0.425077	0.686726
ENSMUSG00000000823	41.5242	42.2439337065	34.79597	41.4536
ENSMUSG00000000826	171.60399	168.96959	155.78252	158.57726
ENSMUSG00000000827	81.443154	84.941477	83.328206	74.364568
ENSMUSG00000000838	50.58065	46.9469680046763	55.00065932788	54.896470299029
ENSMUSG00000000861	11.512316	11.19037	12.225738	17.738548
ENSMUSG00000000869	25.525	19.9905	18.866067	29.110155
ENSMUSG00000000876	13.06361	11.14436	11.5641	9.72196
ENSMUSG00000000881	43.0728509948	43.29127	41.61603156892	53.728501193
ENSMUSG00000000884	5.0112881215	4.414670287	3.43244500190816	4.88936900274201
ENSMUSG00000000889	0.0613238	0.076639	0.212799	1.32306
ENSMUSG00000000901	9.699771	8.88308	6.055195	7.459025
ENSMUSG00000000902	57.11908	56.21134	46.848681	56.046574
ENSMUSG00000000903	0.571967	0.357406	0	0.53325
ENSMUSG00000000915	47.73986	49.736675	42.744627	39.53437
ENSMUSG00000000916	21.08907	21.6465	14.528458	20.187488
ENSMUSG00000000934	21.43274	21.39316	18.182791	21.825802
ENSMUSG00000000938	0	0	0	0
ENSMUSG00000000942	0	0	1.52758	0
ENSMUSG00000000948	232.57143	218.12808	214.84929	216.2183
ENSMUSG00000000957	15.547394	12.260467	9.324407	9.70084
ENSMUSG00000000958	1.990519	1.614811	1.95283300169703	1.877911
ENSMUSG00000000959	41.92587	46.71627	47.53268	39.54439
ENSMUSG00000000976	13.760067	12.919074	12.08655	11.48178
ENSMUSG00000000982	0.225528	0.281852	0.586951	0.420524
ENSMUSG00000000983	2.8517	2.45018	3.40163	1.32933
ENSMUSG00000001014	1.812866	0.809453	1.61543	1.25088
ENSMUSG00000001016	119.19121	116.90113	110.83716	105.91234
ENSMUSG00000001017	130.13394	135.04563	125.80026	129.07662
ENSMUSG00000001018	73.49622	73.68644	79.55516	70.05713
ENSMUSG00000001020	3.81531	5.654	5.88716	4.21789
ENSMUSG00000001021	0.2453953	0.766703	0.8031136	0.34206
ENSMUSG00000001023	0.465719	0	0	0.434194
ENSMUSG00000001025	49.099404	40.80764	37.24188	26.89627
ENSMUSG00000001027	0.18517	0.417883	0.0501995	0.0647383
ENSMUSG00000001029	6.813537	3.759915	4.019759	4.534956
ENSMUSG00000001034	12.95263616975	12.3282281	11.117061936316	13.768784747879
ENSMUSG00000001036	99.3739051956	96.1907202091982	94.80222657065	105.547830005545
ENSMUSG00000001039	34.99148	41.33476	38.04899	48.68175
ENSMUSG00000001052	38.663248	27.782352	31.877143	35.2907600215549
ENSMUSG00000001053	8.251986	8.028316	5.928304	7.728054
ENSMUSG00000001054	26.546551	25.68176	25.23767	23.84031
ENSMUSG00000001056	20.25306	17.06902	19.87055	21.00082
ENSMUSG00000001062	26.683807	29.7647940049513	30.48432952	31.821161258
ENSMUSG00000001065	20.003	16.9153302936	21.94963	18.17078
ENSMUSG00000001076	1.85983	1.09379	0.996536	0.713973
ENSMUSG00000001082	29.33698	29.346432	26.266711	36.676347
ENSMUSG00000001089	30.527439	34.0508	44.67763	35.06102
ENSMUSG00000001095	0	0	0.0282098	0
ENSMUSG00000001098	40.215061	37.90518	34.797546	37.391245
ENSMUSG00000001100	106.57842	101.14124	104.37552	102.77886
ENSMUSG00000001103	1.37777	0.900937	1.3583535	0.934186
ENSMUSG00000001105	65.56843300525	68.615274	63.656320129603	79.4187
ENSMUSG00000001119	5.41403	6.46073	8.515461	13.5653
ENSMUSG00000001120	21.710250071239	25.83284616205	28.067443227	30.451253
ENSMUSG00000001123	1.159652	3.670785	3.730544	3.313034
ENSMUSG00000001127	346.108543	326.000794	270.25408	324.73421
ENSMUSG00000001128	8.09383	6.85615	6.51792	11.50689
ENSMUSG00000001131	4.90363	3.13348	3.258086	2.10176
ENSMUSG00000001134	15.544964	13.793888	14.02392	10.52748
ENSMUSG00000001138	17.94086833	24.19394	17.23205	18.18901
ENSMUSG00000001143	34.491452	34.29243	28.141392	29.58562
ENSMUSG00000001150	25.95161	24.996206	23.35335	27.854886
ENSMUSG00000001151	16.793891	14.015881	16.0409	15.940537
ENSMUSG00000001155	0.31935	0.68357	0.736023	0.964143
ENSMUSG00000001156	10.0264	10.41202	9.696269	11.93558
ENSMUSG00000001157	42.37355	36.89352	40.12162	39.46209
ENSMUSG00000001158	73.714384	69.430812	69.442029	71.127908
ENSMUSG00000001166	1.982203	1.45799	1.437413	1.79145
ENSMUSG00000001168	0	0	0	0
ENSMUSG00000001173	47.479249	49.27246	50.24833	59.22713
ENSMUSG00000001175	1075.7628	1107.9592	1182.5807	1151.9921
ENSMUSG00000001211	94.40273	96.945016	100.210988	88.034906
ENSMUSG00000001225	5.7269571	6.553635	5.097826	6.035617
ENSMUSG00000001227	42.80831	41.4502	33.30153	40.7599
ENSMUSG00000001228	0.6470920832098	1.19924	1.70695960135444	1.0649635
ENSMUSG00000001229	10.142842	10.781735	13.313114	13.99012
ENSMUSG00000001240	19.559541	18.208195	21.4519091	16.548916
ENSMUSG00000001247	9.49603	9.74943	9.60105	6.093089
ENSMUSG00000001248	76.755296	76.830212	69.694486	76.825163
ENSMUSG00000001249	1.047221	2.5806634	2.0782085	2.417741
ENSMUSG00000001260	102.40785	98.42006	74.10179	102.05277
ENSMUSG00000001270	1122.77168	1154.24729	1105.37215	979.10719
ENSMUSG00000001280	16.074889	16.141337	16.397203	14.82221237
ENSMUSG00000001281	1.719168	1.189882	3.42516	4.500313
ENSMUSG00000001285	57.82302	57.684805133419	58.691407	57.16824
ENSMUSG00000001288	8.40701	10.044221	12.843262	11.17896
ENSMUSG00000001289	551.0777124272	561.62137	468.38997259	512.28702
ENSMUSG00000001300	17.25663	16.79306	12.99278	18.49344
ENSMUSG00000001305	15.7775	17.25813	15.03047	15.08666
ENSMUSG00000001313	141.972	147.5754	144.84983	111.85279
ENSMUSG00000001323	29.43461399	32.51393911475	33.057105	40.2657360228018
ENSMUSG00000001333	2.06668	2.06903	2.131569	2.34403
ENSMUSG00000001334	59.5084	56.5429	75.1285	53.7977
ENSMUSG00000001348	2.46154	1.315966616	0.850219	3.25366886
ENSMUSG00000001349	1.537213	1.040566	2.648495	1.035016
ENSMUSG00000001366	108.27189	114.17936	118.441371	110.91983
ENSMUSG00000001376	65.35577	56.448408	66.084523	63.39648
ENSMUSG00000001380	97.49124	98.004047	91.14698	96.08845
ENSMUSG00000001383	96.5397	104.5951	98.2017	110.2338
ENSMUSG00000001403	2.94255	2.2329946	3.1997	2.77919
ENSMUSG00000001415	58.06453	58.5098059	53.72303	58.695603
ENSMUSG00000001416	204.90186	199.45417	159.64433	170.62493
ENSMUSG00000001418	42.094483	46.34225978588	47.4117876	37.380219
ENSMUSG00000001419	24.726226	24.774048	30.01198	30.95859
ENSMUSG00000001420	1.6025185	1.845369	1.2960073	1.176184168
ENSMUSG00000001424	63.943431253238	71.559922	55.535165	72.53883
ENSMUSG00000001435	9.757507	10.394799	15.05325189647	9.778008
ENSMUSG00000001436	10.857071	10.162913	12.281315	9.1854
ENSMUSG00000001440	103.51002	99.02804	95.52602	111.65291
ENSMUSG00000001441	165.874287	157.802966	159.95365	181.342251
ENSMUSG00000001444	0.0629666	0.157384	0.0819373	0.117409
ENSMUSG00000001445	46.6024	47.163153	46.7855	44.3044
ENSMUSG00000001467	66.64438	65.72044	65.81631	57.43876
ENSMUSG00000001472	491.296730361632	499.336348	468.297546	487.02544
ENSMUSG00000001473	10.9715	11.018692	10.208555	10.2288
ENSMUSG00000001482	34.40359	38.25969	36.9627594	39.7690042537
ENSMUSG00000001493	0.56525	0.971325	0.980733	0.526988
ENSMUSG00000001494	0.229426	0.286724	0.298548	0.0712988
ENSMUSG00000001496	3.720058	4.11538	3.509781	3.69323
ENSMUSG00000001497	0.0789551	0.156981	0.192228	0.23365200308639
ENSMUSG00000001504	3.722104	2.8033779	40.40214	1.873406
ENSMUSG00000001506	4.50326	5.38725	4.675309	2.35705
ENSMUSG00000001507	19.217006	13.872999	14.083466	15.0574332589
ENSMUSG00000001508	0.588756	0.3908819	0	0
ENSMUSG00000001510	0.179937	0.0374792	0.104066	0
ENSMUSG00000001517	2.431052	1.7654325	1.145711	1.790959
ENSMUSG00000001518	30.11048	36.99863	31.531234	29.694579
ENSMUSG00000001520	44.69502	42.45294	43.36844	45.67069
ENSMUSG00000001521	22.911718	23.15768	25.00853	27.49566
ENSMUSG00000001524	20.484765	20.318569	15.042387	18.238368
ENSMUSG00000001525	325.88145	332.7592	307.38206	316.24038
ENSMUSG00000001542	16.040039	15.381411	22.74095	17.781632
ENSMUSG00000001552	23.594725	23.76599	29.234991	21.9642947495
ENSMUSG00000001555	8.206526	6.507122	5.83859	4.37528
ENSMUSG00000001558	1.670159	1.42124	2.150038	1.721863
ENSMUSG00000001566	0	0	0	0
ENSMUSG00000001569	23.54457	22.19395	22.65604	30.0745
ENSMUSG00000001576	72.576917	74.650868	68.736605	79.4921246352
ENSMUSG00000001583	0.5259527	1.19013850034827	0.5929248	0.768814
ENSMUSG00000001588	0.495926	0.314852	0.2957918	0.2642126
ENSMUSG00000001604	1.95869	1.22393	1.52928	0.730441
ENSMUSG00000001622	1.636277	2.108838	2.207239	1.438937
ENSMUSG00000001627	54.941446	46.495326	59.47464	57.615745
ENSMUSG00000001630	21.092499	21.13335	21.53166	18.625195
ENSMUSG00000001632	11.6303299246119	12.203778	12.8374700162828	12.006811314
ENSMUSG00000001642	60.41061073	60.398872	60.8573	57.04535
ENSMUSG00000001655	0	0	0.0276246	0
ENSMUSG00000001656	0.078266	0.0978125	0	0
ENSMUSG00000001657	0.656671	0.502493	0.564328	0.760397
ENSMUSG00000001661	0	0	0.1258966	0.175966
ENSMUSG00000001663	32.36337	27.90536	26.27754	22.78342
ENSMUSG00000001665	12.025534	10.54623	11.764125	7.637835
ENSMUSG00000001666	70.78873	72.60584	80.70386	64.52531
ENSMUSG00000001670	0.132186	0.142637	0.0990127	0.123238
ENSMUSG00000001672	2.22264	1.273859	1.275716	0.89243
ENSMUSG00000001674	24.32386	20.71305	21.55066	20.15389
ENSMUSG00000001687	216.52765	218.51622	226.78038	213.29095
ENSMUSG00000001700	16.42769	14.288354	13.81612	12.09003
