sample_SRR10334377	sample_SRR10334376	sample_SRR10334375	sample_SRR10334373	sample_SRR10334372	sample_SRR10334371	sample_SRR10334370
ENSMMUG00000000198	10.921	10.2213	9.36857	11.4504	7.80637	7.97633	7.11469
ENSMMUG00000000200	0	0	0	0	0	0	0
ENSMMUG00000000202	0.101374	0	0	0.0829496	0	0	0
ENSMMUG00000000203	2.543433	3.043275	4.299973	3.10451	4.96442	2.417722	4.905667
ENSMMUG00000000204	2.52121	4.21171	3.4371	4.00211	3.19738	3.58919	2.97746
ENSMMUG00000000205	4.153757	3.621028	6.00032	4.416639	4.62703	3.991999	6.608264
ENSMMUG00000000208	9.994766	3.340531	7.330480385462	12.378788746941	6.67135	2.2247277588455	4.380194
ENSMMUG00000000215	1.1765761	1.2616308	6.17539	3.263339	2.8645528	8.111283	2.630865
ENSMMUG00000000217	57.48229	44.73825	58.55567098	56.999	58.417373	42.176597	43.2772
ENSMMUG00000000218	0	0.856378	1.88445	1.00552	2.1437	1.36565	0.811295
ENSMMUG00000000220	15.3743	9.32017	13.8098	15.8024	16.3022	9.92584	11.9585
ENSMMUG00000000222	8.55462	0.106509	0.988852	1.38606	1.05411	0.451081	0.094769
ENSMMUG00000000223	2.5247	2.44177	4.63439	2.30067	3.70779	1.115212	2.277450217609
ENSMMUG00000000224	22.67219	22.99962	25.54898	26.76015	31.03079	18.41718	17.86288
ENSMMUG00000000226	40.9824	34.337973	42.477699	42.997456	50.1066161	26.863165	32.6386222
ENSMMUG00000000227	8.38586	27.83917	16.961540139568	14.177210139683	17.0732	35.9527424	35.7316236977
ENSMMUG00000000229	62.531011	53.081728	64.80566	56.412823	69.6589	59.028687	64.254994
ENSMMUG00000000232	6.75778	6.16505	9.93034	8.2844	9.32573	5.15887	7.66011
ENSMMUG00000000237	4.818966	5.4220955	7.576262	5.07498076635	6.45058	3.870295	5.911307
ENSMMUG00000000238	6.19983	3.24102	6.79128	5.30182	6.95783	2.36444	3.68769
ENSMMUG00000000242	13.2645	17.5376	19.8306	12.6122	18.1397	14.6436	14.0117
ENSMMUG00000000243	0.491705	0.448322	0.775183	0.458455	0.344887	0.345291	0.474319
ENSMMUG00000000244	0.165344	0.269269	0.0732087	0.136186	0.133751	0.125955	0.0613819
ENSMMUG00000000245	0.173277	0.0563673	0.1633378	0.0502642	0.040481	0.0495152	0.079247
ENSMMUG00000000246	14.882127	22.79044	22.4581300016767	21.015514	31.22941	18.836165	43.43601
ENSMMUG00000000249	238.236	306.267	284.725	287.688	303.938	230.615	300.272
ENSMMUG00000000250	162.866	165.442	199.358	180.389	191.109	149.539	228.23
ENSMMUG00000000252	17.801944	11.14322	19.08676	15.257322	19.00357	9.720919	14.247042
ENSMMUG00000000256	3.91008	4.62041	4.70787	4.76091	1.33814	2.82258	3.36299
ENSMMUG00000000262	1.03742	2.06525	2.17143	1.55765	2.60112	1.79202	2.09716
ENSMMUG00000000263	17.523101	15.7098	22.592921	19.98673	19.0771744	18.207049	16.115564
ENSMMUG00000000264	43.82882	51.7855	53.62293	48.69133	54.25851	37.56668	41.1379
ENSMMUG00000000265	0.352741	0.401438	0.646752	0.557055	0.701653	0.575812	0.621497
