sample_SRR13255798	sample_SRR13255824	sample_SRR13255827	sample_SRR13255871	sample_SRR13255875	sample_SRR13255897	sample_SRR13255903	sample_SRR13255906
ENSMOCG00000000121	0	0.0757337	0	0.0973362	0.0942596	0	0	0
ENSMOCG00000000122	16.97636	18.606572	19.23552	17.041588	14.356453	14.945787	18.769	15.744053
ENSMOCG00000000123	0.389687	5.80217	0.428738	20.1854	15.6981	10.009	5.98751	0.65619
ENSMOCG00000000124	60.9385	48.4049	58.9426	51.6775	48.2305	63.5014	62.4899	54.9399
ENSMOCG00000000125	222.4015	203.3304	196.0125	217.0431	218.4465	219.5516	228.4623	214.2169
ENSMOCG00000000126	0	0	0.109881	0	0	0	0	0
ENSMOCG00000000127	0	0.148175	0	0	0.184421	0	0	0
ENSMOCG00000000128	0	0	0.288131	0	0	0	0	0.227188
ENSMOCG00000000129	23.4211	44.6072	43.1318	54.9773	30.4459	27.7471	28.5054	28.3384
ENSMOCG00000000130	24.2089	25.1929	23.1694	25.3424	26.7957	24.0274	28.9397	23.4249
ENSMOCG00000000131	1.15989	1.62713	1.09548	1.42586	1.81804	1.78019	1.46298	1.0541
ENSMOCG00000000132	0	0	0.184105	0	0	0	0	0
ENSMOCG00000000133	91.60115	76.31402	86.26814	88.13416	90.94915	90.711407	103.02673	84.84512
ENSMOCG00000000134	28.8807	60.7127	54.2734	40.3642	39.532	29.3124	36.8834	42.8155
ENSMOCG00000000135	0	0	0	0	0	0	0	0
ENSMOCG00000000136	0.484671	0.741722	0.47766	0.167281	0.566979	0.881095	0.192415	0.472182
ENSMOCG00000000137	7.10421	9.06	9.95301	6.43861	8.42402	6.01296	7.74222	7.0708
ENSMOCG00000000138	10.9829	14.42762	16.21953	14.39109	12.1350257	10.072192335	11.6209489	12.0102
ENSMOCG00000000139	7.00827	10.2386168668	15.53564	9.91079	8.34312	4.162824	11.473	8.31796
ENSMOCG00000000140	8.53595	10.0225	9.71784	8.03278	8.19936	7.19987	9.56747	10.3302
ENSMOCG00000000141	91.98219	128.634	144.0926	136.55033	133.15190002421	95.59491	117.0286	126.86974
ENSMOCG00000000142	162.183	160.703	172.219	176.668	173.727	158.226	184.656	179.26
ENSMOCG00000000143	2.24554	3.24557	3.40155	4.21224	0.836293	1.62749	2.6827	1.42287
ENSMOCG00000000144	14.7294	15.607	15.1452	16.4186	14.9028	15.6914	15.6831	13.8081
ENSMOCG00000000145	20.6053	16.3648	16.4558	15.7221	14.0072	15.2126	15.3028	15.1028
ENSMOCG00000000146	2.29056	7.22175	4.05501	2.25264	4.50426	3.29583	2.04184	2.10267
ENSMOCG00000000147	50.042	52.1205	46.0454	36.5922	43.1863	54.5797	50.0586	44.8168
ENSMOCG00000000148	30.53830424494	53.05009	60.0652	40.36667	36.500907	30.258065	39.62628	42.14025
