sample_SRR5516115	sample_SRR5516118	sample_SRR5516121	sample_SRR5516123	sample_SRR5516126	sample_SRR5516128	sample_SRR5516131	sample_SRR5516132
ENSCPOG00000000219	54.1563	58.1746	50.717	48.7532	47.0136	47.0819	57.1595	57.1951
ENSCPOG00000000220	20.3768	23.7304	19.0877	25.6233	23.9239	23.3701	20.7642	21.4291
ENSCPOG00000000221	0.313346	0.232708	0.036011	0.0365947	0.0380827	0.113375	0.0431712	0
ENSCPOG00000000222	6.62027	7.72955	9.81127	8.58554	6.34071	6.67359	8.93048	7.88978
ENSCPOG00000000224	28.3472	28.8546	22.5754	28.012852	25.5199	27.8676	27.442	31.1778
ENSCPOG00000000227	0.0714664	0	0	0	0	0	0.0829434	0
ENSCPOG00000000228	0	0	0	0	0	0	0	0
ENSCPOG00000000230	47.37852	47.55537	41.43512	49.0654	44.6257	49.91408	51.96349	55.3988
ENSCPOG00000000231	0	0	0	0	0	0	0	0
ENSCPOG00000000232	190.4116	183.349084	179.223911	183.46	181.25215	146.411498	180.32593	161.083
ENSCPOG00000000236	4.5914	5.64685	5.48499	5.87446	5.20343	5.05079	6.48445	5.68671
ENSCPOG00000000237	131.863	114.422	110.409	123.831	108.407	123.313	159.062	152.381
ENSCPOG00000000244	0.486992	1.15734	0.787916	0.711722	0.740662	0.7518	1.07352	1.09794
ENSCPOG00000000245	0.226508	0.44858	0.104125	0.317438	0	0.437093	0.249657	0.212779
ENSCPOG00000000246	18.2412	19.55274	15.61038	18.37722	17.44064	18.65821	20.06129	17.29151
ENSCPOG00000000247	1.61434	2.07809	2.00368	2.79029	2.51135	3.58247	1.51242	2.12309
ENSCPOG00000000248	4.55657	5.87272	5.66981	5.34971	5.00463	7.04706	7.26843	5.24552
ENSCPOG00000000249	44.6918	44.1448	42.8492	46.6393	48.3568	49.1948	53.966	53.0838
ENSCPOG00000000250	28.9473	27.0165	22.6649	28.854	24.1159	29.7393	26.0046	32.9893
ENSCPOG00000000251	33.5124	25.4698	31.4931	29.924	26.9325	39.4934	42.9345	37.8702
ENSCPOG00000000253	53.8358	52.8222	56.4057	50.941	55.4002	58.7209	59.1212	64.6924
ENSCPOG00000000254	1.74745	1.37645	1.65938	2.32834	2.84811	3.49473	3.0142	2.72842
ENSCPOG00000000256	4.705003	3.91516	3.018729	3.3610130905	3.59415	3.99379	3.892393	4.53404
ENSCPOG00000000258	11.3374	12.1435	9.40845	5.77482	8.15135	7.89898	8.57773	9.36543
ENSCPOG00000000259	1.03534	1.36693	1.26917	1.28975	1.00664	1.33193	1.14115	1.29678
ENSCPOG00000000260	2.96578	3.54434	3.76099	3.34421	2.98302	3.65093	4.39608	3.84278
ENSCPOG00000000262	3.8197	4.17697	5.61888	4.90312	5.36084	4.2623	4.68599	4.14981
ENSCPOG00000000265	84.5637	80.8178	73.4195	79.819606	75.0584	78.023206	93.867672	87.552874
ENSCPOG00000000267	205.34	104.052	198.024	240.28	306.897	302.806	327.53	197.99
ENSCPOG00000000268	0	0	0.202204	0	0	0	0	0
ENSCPOG00000000269	0.140094	0.277443	0.193201	0.130889	0.204316	0.337924	0.540439	0.526409
ENSCPOG00000000270	1.13207	1.25084	0.829832	1.68712	0.350434	0.304914	1.29583	0.76276
ENSCPOG00000000272	18.0121	19.21476	17.07464	14.38049	15.31906	16.14773	19.318963	17.61116
ENSCPOG00000000278	20.9028	18.1322	16.2796	16.4628	18.2239	23.9184	20.0878	23.9363
ENSCPOG00000000279	7.15485	17.2028	7.40288	10.8755	8.89246	8.02226	9.14012	10.3592
ENSCPOG00000000280	14.5458578	14.9538639244932	15.4317822	14.87304632	13.39304903374	15.04426	18.3381075	15.940655
ENSCPOG00000000281	0	0	0	0	0	0	0	0
ENSCPOG00000000282	56.1845	50.564	54.622	50.4613	46.307	51.3672	63.7819	57.9185
ENSCPOG00000000283	56.0357	55.8804	60.5923	51.4874	55.7061	63.5884	73.2242	65.519
ENSCPOG00000000284	8.71543	10.4872	10.2443	10.2042	9.11745	9.57998	12.646	10.5708
ENSCPOG00000000285	0.312032	0.231732	0.0717198	0.218647	0.151692	0.037633	0.12897	0.146559
ENSCPOG00000000287	2.719225	2.49176	2.191982	2.828648387	2.40843	2.655580415732	3.727	3.73276
ENSCPOG00000000288	31.583026	30.888193	12.789654	11.377012	21.108035	14.032275	8.795802	7.672512
ENSCPOG00000000291	8.18521	10.2931	9.58559	6.3389	7.74652	7.62725	10.5654	7.48443
ENSCPOG00000000293	17.1941	3.63108	23.2252	2.51244	6.89302	31.4498	16.167	39.7292
ENSCPOG00000000294	0.158371	0.274436	0.291211	0.25894	0.269468	0.382012	0.698227	0.37193
ENSCPOG00000000295	3.2039	1.90351	1.23717	0.179603	1.80676	1.29834	0.42376	0.541746
ENSCPOG00000000296	29.4302	31.77	34.7576	29.921	28.1558	30.3874	33.413	33.6853
ENSCPOG00000000297	0	0.150025	0	0	0	0	0	0
ENSCPOG00000000298	11.1319	10.1267	11.4827	11.7533	10.5593	10.6533	8.07993	11.3923
ENSCPOG00000000299	0.53695	0.286296	0.873411	1.00334	0.401591	0.438373	0.910501	0.579286
ENSCPOG00000000301	8.23723	8.53302	5.94208	6.3936	6.65357	6.11362	8.79971	9.16649
ENSCPOG00000000303	0.1748173	0.3462113	0.339439	0.275953	0.339945	0.284978	0.385368	0.138729
ENSCPOG00000000304	34.6339	35.9122	27.3623	27.1075	28.775	28.3413	31.3383	30.9743
ENSCPOG00000000307	11.659	8.62865	11.2384	7.8399	13.3755	11.9498	11.8278	17.8117
ENSCPOG00000000308	2.0759	2.78146	2.58217	7.16367	4.95413	1.53165	3.33113135418	1.17578
ENSCPOG00000000309	197.8345	190.6301	172.9442	195.6371	196.5485	200.0814	206.7239	232.7787
ENSCPOG00000000315	137.809	133.84	104.106	119.436	123.167	127.808	132.276	139.187
ENSCPOG00000000319	4.65554	1.31713	12.1823	3.63267	2.83528	12.0442	6.7102	12.0628
ENSCPOG00000000320	27.3187	30.8203	27.6561	26.7826	23.3519	27.0085	30.5933	30.1246
ENSCPOG00000000322	1.0176	2.26717	1.16946	2.61452	1.97878	2.94549	2.52358	3.34571
ENSCPOG00000000324	4.50608	3.68596	2.97204	5.12522	3.42875	4.72576	3.56299	7.5457
ENSCPOG00000000327	18.1742	16.2097	13.5939	14.2665	11.381	19.4036	22.9417	26.8284
ENSCPOG00000000328	0.250658	0	0	0.117094	0.121855	0	0	0
ENSCPOG00000000331	4.37493	4.406577	3.40168	4.335762	4.068354	4.96408	3.68881	4.2755
ENSCPOG00000000332	17.28994	16.63496	11.83763	10.76928	8.70344	17.39218	18.78663	18.43066
ENSCPOG00000000333	68.8067	75.6548	65.0496	67.805	70.0737	78.8058	70.5798	78.5542
ENSCPOG00000000335	2.54399	3.07887	1.87114	2.2712	2.47348	2.0182	2.55474	1.43387
ENSCPOG00000000337	21.0106	18.9106	19.5707	19.4507	21.3646	18.8083	21.9619	21.7437
ENSCPOG00000000338	7.21422	6.591582	9.017766	7.589575	7.025793	5.275866	8.25874	7.27567104947
ENSCPOG00000000339	27.94458739	27.44600085	24.99545	23.23856	24.004494774	21.42419696	27.14819	23.691222
ENSCPOG00000000341	0.288894	0.286064	0.796819	1.16962	0.655402	0.743305	0.530697	0.542766
ENSCPOG00000000342	56.7055	43.5873	37.2244	41.0231	39.6877	39.065	41.8292	40.1067
ENSCPOG00000000343	9.1037	8.77277	7.95297	7.82118	8.07137	8.95199	9.5343	10.9438
ENSCPOG00000000344	0	0	0	0	0	0	0	0
