sample_SRR6293978	sample_SRR6293979	sample_SRR6293980	sample_SRR6293981	sample_SRR6293982
ENSSTOG00000000361	61.736222	64.281	72.33712	63.52431	65.12015
ENSSTOG00000000362	175.028	180.331	190.342	181.902	181.4
ENSSTOG00000000363	12.0342	13.8764	14.4235	13.0959	13.7664
ENSSTOG00000000364	1.961029	2.55101	2.36540919	2.62419	3.1579
ENSSTOG00000000365	5.30113	5.23612	5.22433	4.3119	4.27851
ENSSTOG00000000366	15.0527	15.72502	19.74445	16.05848	16.48671
ENSSTOG00000000367	21.5239	20.2595	20.1558	19.3178	19.0237
ENSSTOG00000000369	4.9927	5.85097	5.53428	6.38586	4.29239
ENSSTOG00000000370	0.170512	0.035178	0.0363866	0.0902553	0.0373606
ENSSTOG00000000372	10.5434	12.3336	11.1205	11.2638	10.5765
ENSSTOG00000000373	0.0863917	0.0356449	0	0.0304839	0
ENSSTOG00000000375	4.04485	3.63319	3.35742	4.29129	3.03613
ENSSTOG00000000377	0.085493021	0.0719845	0.0744573	0.1194873022237	0.26251522
ENSSTOG00000000378	27.66829	28.49937	39.3255	34.35164	31.59179
ENSSTOG00000000379	0.0998586	0	0	0	0
ENSSTOG00000000380	41.4185	40.1867	42.62	41.157	38.2144
ENSSTOG00000000381	71.6479	72.2939	71.6427	68.3917	65.4715
ENSSTOG00000000383	14.675345493	11.618524	12.849134	11.608773	13.221505
ENSSTOG00000000384	7.55114	6.77747	8.65686	7.63209	7.65814
ENSSTOG00000000385	7.45146	8.70315	8.73225	7.43081	7.68278
ENSSTOG00000000386	46.0123	37.6417	36.8076	38.2036	36.8386
ENSSTOG00000000387	9.90549	8.86255	10.6328	9.25123	8.96454
ENSSTOG00000000388	33.4069	32.35309	31.49916	36.42296	26.90165
ENSSTOG00000000389	51.7464	51.5784	56.1581	55.959	55.9628
ENSSTOG00000000390	6.72461	7.00496	5.89438	6.60799	7.31529
ENSSTOG00000000393	13.6727	12.7879	16.228400000784	12.9908	15.080825
ENSSTOG00000000394	17.3523	16.7296	18.5304	18.0204	15.5501
ENSSTOG00000000396	8.40576	10.6042	8.75044	9.50372	9.55443
ENSSTOG00000000399	0.318916	0.174546	0.180489	0.0745115	0.370525
ENSSTOG00000000400	4.12123	3.55349	4.63693	4.47899	4.93925
ENSSTOG00000000401	31.17875	29.18072	28.82774	30.37141	29.33639
ENSSTOG00000000402	16.3774	16.91919	14.3347	14.699	16.049369
ENSSTOG00000000405	0.886743	0.782713	0.809526	0.892034	0.775703
ENSSTOG00000000406	35.1397	31.425	32.1661	34.5566	34.4945
ENSSTOG00000000408	9.92272	13.6917	11.4187	14.0513	7.59057
ENSSTOG00000000411	22.3439	26.3072	17.8925	24.1475	27.3355
ENSSTOG00000000412	0.150132	0.432483	0.70286	0.686308	0.459173
ENSSTOG00000000415	78.6134	82.48717	78.90782	74.41688	78.32537
ENSSTOG00000000416	0.166499	0.13601	0.140618	0.231903	0.432885
ENSSTOG00000000417	8.61265	6.37611	7.24761	6.37403	7.11224
ENSSTOG00000000418	8.84754	7.49063	9.38502	8.30574	8.94595
ENSSTOG00000000419	6.24414	6.67691	6.85046	6.80302	7.55308
ENSSTOG00000000420	25.2242	24.9379	27.0764	27.8278	25.3678
ENSSTOG00000000422	681.196	613.055	683.95	627.007	640.743
ENSSTOG00000000423	13.63724	12.96089	11.618093	12.40119	11.05452
ENSSTOG00000000424	86.0316	78.1958	75.20047	69.0248	61.33490892
ENSSTOG00000000426	72.1963	68.0326	76.2881	65.1586	63.0898
ENSSTOG00000000427	10.7286	11.2411	10.2038	9.79752	10.1478
ENSSTOG00000000428	7.5018	6.85559	4.888112	4.74122	7.99643
ENSSTOG00000000429	36.9926900074211	38.506449	40.55321	45.50852	42.67789
ENSSTOG00000000431	0.612058	0.683725	0.399743	0.483131	0.663044
ENSSTOG00000000432	7.88068	9.00707	9.49631	8.98146	8.06607
ENSSTOG00000000436	25.4333	21.601	22.4184	22.8436	24.9992
ENSSTOG00000000437	30.35736	33.9868	37.90136	32.35681	29.82095
ENSSTOG00000000438	13.854251	11.5582	11.3179	13.9262	12.566774
ENSSTOG00000000439	6.48277	6.32882	6.3661	5.58146	5.58852
ENSSTOG00000000440	17.1105000058831	14.8616	14.8596000059154	15.161800277408	14.1435
ENSSTOG00000000442	4.97881	4.7	4.44868	5.15434	4.36538
ENSSTOG00000000443	222.291521	208.85024	222.34475	229.36935	216.87403
ENSSTOG00000000444	43.616028	39.9626	41.528579	38.868872	40.847738
ENSSTOG00000000445	95.2502	112.9909	119.3089	102.8929	107.3342
ENSSTOG00000000446	6.65031	10.1365	7.5222	7.570682	7.185276
ENSSTOG00000000447	3.97233	4.09885	5.57791	4.97134	4.56528
ENSSTOG00000000448	57.2336	49.0876	53.332	52.3737	48.7063
ENSSTOG00000000450	199.77253	182.52168	187.54649	177.73179	174.05811754
ENSSTOG00000000452	15.35	15.2719	15.689	14.8575	15.6646
ENSSTOG00000000454	48.6031	47.4213	48.6369	51.3865	43.4201
ENSSTOG00000000455	8.99734	8.48264	9.56981	9.36151	8.4383
ENSSTOG00000000456	66.597334	67.96686	70.54692	63.648971	66.160274
ENSSTOG00000000457	0.734071	0.802483	0.695047	0.27735	0.66037
ENSSTOG00000000458	35.18381	34.80666	36.7799	33.7827	32.88886
ENSSTOG00000000460	69.0736	66.3994	56.9516	65.1057	61.6329
ENSSTOG00000000461	21.1007	21.3641	27.2725	24.1273	25.162
ENSSTOG00000000462	10.6238	8.20242	8.10877	7.57609	7.74824
ENSSTOG00000000463	26.187192	21.852922	20.966648	21.755637	20.967576
ENSSTOG00000000464	27.2618	25.1094	27.0709	25.4247	24.378
ENSSTOG00000000465	0.346923	1.11712	2.59822	1.42393	2.66222
ENSSTOG00000000466	3.13149	2.85716	2.46946	2.20892	2.99272
ENSSTOG00000000469	91.6548	85.4552	88.9423	87.9413	86.8213
ENSSTOG00000000470	11.1437	11.9002	11.0492	10.282	10.5855
ENSSTOG00000000472	599.742	592.151	605.203	609.177	608.904
ENSSTOG00000000474	0.804474	0.434729	0.224612	0	0.230364
ENSSTOG00000000476	0	0	0	0	0
ENSSTOG00000000477	4.39562	4.84967	5.62653	4.68372	4.74591
ENSSTOG00000000479	11.61152	10.82742	11.10359	11.86606	10.985412
ENSSTOG00000000480	36.63537	34.87824	35.56666	32.883656212	32.07021
ENSSTOG00000000481	26.5619	25.7957	25.1389	23.3457	24.8233
ENSSTOG00000000483	0.630672	0	0.526342	1.08185	0
ENSSTOG00000000484	0	0	0	0	0
ENSSTOG00000000485	83.58247	97.5074	90.91278	100.7596	93.7938
ENSSTOG00000000486	3.4437	2.64919	2.29966	2.5883	2.31081
ENSSTOG00000000487	21.4696	20.9164	24.0429	20.6873	20.8616
ENSSTOG00000000488	23.34	24.5547	29.7614	25.1231	24.867
ENSSTOG00000000490	50.4504	47.2906	46.3654	47.3702	49.2984
ENSSTOG00000000491	4.87984	6.25907	3.34051	5.01223	4.21562
ENSSTOG00000000492	255.0178	226.5176	239.3818	229.1675	224.9752
ENSSTOG00000000493	0.137765	0.0567224	0.117328	0	0
ENSSTOG00000000494	0.285314	0.6925897	0.477184	0.3925666	0.2446811
ENSSTOG00000000495	6.21253	7.42242	6.17957	6.21983	5.92856
ENSSTOG00000000496	1.76939	1.77656	1.40196	1.65503	1.88578
ENSSTOG00000000497	10.5572	7.87652	9.18996	8.68463	10.0774
ENSSTOG00000000498	1.76265	3.05381	1.94844	2.12398	2.9707
ENSSTOG00000000499	14.3982	11.7423	17.332521	14.0406	11.8254
ENSSTOG00000000501	30.8711	30.4248	32.6329	31.2039	32.6935
ENSSTOG00000000502	61.86589	59.54392	63.8343	63.97456	63.236205
ENSSTOG00000000503	19.933	18.4124	19.767	18.7308	17.9822
ENSSTOG00000000506	97.0442	100.098	96.8401	84.529	87.0499
ENSSTOG00000000507	0.0772886	0.692815	0.119382	0.271714	0.122519
ENSSTOG00000000508	32.2213	34.9529	35.9034	34.1796	31.4404
ENSSTOG00000000509	4.73119	5.46883	4.29397	5.14888	4.5959
ENSSTOG00000000510	32.2530500094005	24.97674281	30.0631329	26.8114108487972	26.17931
ENSSTOG00000000511	4.53443	4.74071	3.20647	4.75973	2.86899
ENSSTOG00000000512	52.21263	52.5002	60.4208	56.1171	50.5574
ENSSTOG00000000516	29.575	28.1383	30.9372	29.934	28.1728
ENSSTOG00000000518	6.55194	5.21573	6.4208	3.32261	4.04234
ENSSTOG00000000519	23.82661	22.91653	23.128147	23.260402	21.22846
ENSSTOG00000000523	26.6175	23.356	22.3691	21.0887	20.3347
ENSSTOG00000000525	46.0576	49.7424	54.1677	56.3025	49.4195
ENSSTOG00000000526	34.047	39.4276	40.6542	37.6918	36.3229
ENSSTOG00000000527	4.4388	4.16144	2.8694	3.5445	3.26182
ENSSTOG00000000529	60.720106	47.173923	41.8285	53.1342	51.8682
ENSSTOG00000000531	17.03576	17.09204	18.36267	15.14481	14.83926
ENSSTOG00000000532	22.1748	18.866	19.3806	19.4721	19.3792
ENSSTOG00000000533	0	0.158085	0	0	0.167656
ENSSTOG00000000534	10.059	9.79711	10.7806	10.604	9.93004
ENSSTOG00000000535	11.4617	13.1614	13.2313	12.1012	11.4252
ENSSTOG00000000537	0.503974	0.805495	0	0.683383	0
ENSSTOG00000000538	25.0732	29.7225	27.8654	19.3906	26.6803
ENSSTOG00000000539	0	0.0906407	0.0312525	0.0516871	0.03209
ENSSTOG00000000540	1103.13	960.207	1073.59	957.921	1019.87
ENSSTOG00000000541	10.43642	11.73222	10.64505	11.6705	12.72842
ENSSTOG00000000542	75.7282	72.1745	78.9375	74.753	67.1854
ENSSTOG00000000544	13.5245	7.9646	7.08846	6.70297	7.1962
ENSSTOG00000000546	23.33721	26.32312	32.9305	30.0983	36.4441
ENSSTOG00000000547	0	0.159759	0.0758396	0.187924	0
ENSSTOG00000000548	10.2328	14.6672	13.1278	11.8007	11.5914
ENSSTOG00000000549	24.8752	18.2123	18.3945	15.0467	16.1998
