sample_SRR5517308	sample_SRR5517314	sample_SRR5517326	sample_SRR5517342	sample_SRR5517351	sample_SRR5517359	sample_SRR5517365	sample_SRR5517370
ENSHGLG00100000306	274.062	295.146	325.213	340.948	341.83	274.4	343.239	308.504
ENSHGLG00100000307	4.8366	3.40993	4.96042	1.84447	2.99015	4.74402	2.64365	4.36993
ENSHGLG00100000308	30.1301	30.3102	27.6692	18.0615	17.3203	27.5243	25.7837	14.1132
ENSHGLG00100000309	11.779	10.0576	11.3023	8.92138	8.63993	9.49042	10.0592	9.19866
ENSHGLG00100000310	16.2188	18.3685	19.8112	18.889902	24.15833	22.32920405079	20.7325864	19.890708
ENSHGLG00100000311	0	0	0	0	0	0	0	0
ENSHGLG00100000312	1.99726	1.65353	1.8579	2.4001	1.89455	3.17833	1.03678	1.35981
ENSHGLG00100000313	23.65505	20.8189	26.34779	24.50198	27.55327	34.41995	27.306	28.608
ENSHGLG00100000314	0.380781	0.197911	0.192814	0.182293	0	0	0	0.159341
ENSHGLG00100000315	50.6045	66.5135	49.1841	64.2372	45.7425	75.871	60.6397	40.4534
ENSHGLG00100000316	0.329621	0.117725	0.684313	0.738585	1.41025	0.246538	0.61118	1.03659
ENSHGLG00100000317	1.2775	0.694108	1.24278	0.611665	0.587918	0	1.943313	0
