sample_SRR5279360	sample_SRR5279359	sample_SRR5279358	sample_SRR5279356	sample_SRR5279349	sample_SRR5279348	sample_SRR5279345	sample_SRR5279344
ENSPEMG00000000186	296.107	317.447	290.711	368.577	446.703	525.498	321.625	334.885
ENSPEMG00000000187	0.584696	0.367699	0.855692	0.485596	0	0	0.545441	0.684154
ENSPEMG00000000189	14.1748	11.3645	12.7803	12.3004	6.77814	18.1506	15.3844	12.3572
ENSPEMG00000000190	0	0	0	0	0	0	0	0
ENSPEMG00000000191	21.8126	17.7812	21.4541	24.8035	27.2475	15.0817	29.0562	30.864
ENSPEMG00000000193	0	0	0	0.053522	0	0	0	0
ENSPEMG00000000194	0	0	0.830887	0	0	0	0	0
ENSPEMG00000000195	18.9483	25.5748	13.1291	23.0037	17.5596	21.3368	19.3902	14.8356
ENSPEMG00000000198	12.5826	6.89976	13.0719	6.8068	11.2212	23.0018	16.2729	6.61192
ENSPEMG00000000199	6.1126	8.56707	7.99503	8.7668	14.2548	3.90899	5.5335	4.17289
ENSPEMG00000000200	5.07038	4.59861	5.67198	6.36074	2.51053	0	5.31035	3.79851
ENSPEMG00000000201	47.8142	46.8753	46.5213	46.8407	51.8022	68.238	48.8958	49.425
ENSPEMG00000000202	0	0	0	0	0	0	0	0
ENSPEMG00000000203	4.66461	7.85355	3.74048	7.64703	2.02823	6.48221	4.98812	4.36245
ENSPEMG00000000205	0	0	0	0	0	0	0	0
ENSPEMG00000000210	0	0	0	0	0	0	0	0
ENSPEMG00000000211	19.9214	21.3611	17.5421	18.8223	20.9691	35.2225	23.8437	16.9466
ENSPEMG00000000214	87.7349	104.538	69.1657	93.9246	136.463	88.7108	111.298	105.327
ENSPEMG00000000215	21.90998	26.3984	23.8101	28.7686	26.604693	28.489900721223	21.7221	16.571600122123
ENSPEMG00000000217	30.32857	34.3622	30.407	32.11574	33.6496	40.9897	41.89358	24.53553
ENSPEMG00000000218	18.0112	29.9022	23.5209	21.9736	27.5932	8.82437	16.0046	12.5714
ENSPEMG00000000220	34.6778	44.2856	36.9612	36.1918	31.6694	36.1723	46.2073	36.5331
