sample_SRR8750645	sample_SRR8750677	sample_SRR8750709
ENSPTRG00000000324	53.21038	49.430445	41.4655
ENSPTRG00000000330	0.3991	0.49183	0.377148
ENSPTRG00000000331	30.4843	28.2636	79.2293
ENSPTRG00000000332	1.41425	1.72146	0.688168
ENSPTRG00000000334	729.517	766.98	984.512
ENSPTRG00000000335	7.29221	5.9433	6.84219
ENSPTRG00000000336	212.754	229.67	158.088
ENSPTRG00000000338	11.376	9.74533	10.0255
ENSPTRG00000000339	25.708	22.14586	24.84465
ENSPTRG00000000340	8.31968	5.98259	10.188
ENSPTRG00000000341	0.240864	0.645903	0.356123
ENSPTRG00000000342	0.134382	0.164579	0
ENSPTRG00000000343	2.19786	1.13804	1.4265800171946
ENSPTRG00000000344	0.39176626	0.133979	0.53778463
ENSPTRG00000000345	4.985773	3.983053	2.767832
ENSPTRG00000000346	25.08845	36.370827	65.756474
ENSPTRG00000000348	1.68031	3.2298	1.36845
ENSPTRG00000000349	32.97034307	21.9167300018563	40.5678200011912
ENSPTRG00000000350	32.8246	23.0339	73.4072
ENSPTRG00000000351	0.63765	0.371922	1.76097
ENSPTRG00000000352	43.93399	39.06892	31.76329
ENSPTRG00000000353	50.5759	31.595	36.8831
ENSPTRG00000000362	1.7608	1.74175	22.4785
ENSPTRG00000000363	16.6511	12.31816	28.6571
ENSPTRG00000000365	61.189	48.5001	36.0398
ENSPTRG00000000369	640.49245	589.51117	541.0846
ENSPTRG00000000370	4.91622	5.30375	4.66005
ENSPTRG00000000371	2.797005	3.65129	2.49588
ENSPTRG00000000372	0.0729187	0	0.0344393
ENSPTRG00000000373	0.104456	0.511277	11.9401
ENSPTRG00000000374	4.83008	4.10553	4.0575
ENSPTRG00000000375	32.9462	37.2666	28.2637
ENSPTRG00000000377	0	0	0
ENSPTRG00000000378	3.49074	2.725477	9.37969
ENSPTRG00000000380	40.212747	19.047438	13.14413
ENSPTRG00000000381	1.06323	1.72786	0.257621
ENSPTRG00000000382	0.128849	0.5610122	0.16241
ENSPTRG00000000383	0	0.2172717	0.503572
ENSPTRG00000000384	2.82716	2.22266	3.22952
ENSPTRG00000000385	19.88001	23.77393	15.58158
ENSPTRG00000000386	248.264	173.8	218.082
ENSPTRG00000000387	13.197633	9.884094	25.1283
ENSPTRG00000000388	10.4167518	8.378624	12.459128
ENSPTRG00000000392	15.4321	10.8898	11.9137
ENSPTRG00000000394	0.108291	0.0441974	0.153772
ENSPTRG00000000395	206.882	218.752	132.428
ENSPTRG00000000396	0.0561154	0	0
ENSPTRG00000000397	0.0402836	0.164439	0.456834
ENSPTRG00000000401	32.5231	26.9506	34.5463
ENSPTRG00000000402	83.121002	67.73459	75.263784
ENSPTRG00000000403	3.03554	0.924159216	1.473309
ENSPTRG00000000404	3.76871	1.16128	2.72721
ENSPTRG00000000405	0.196932	0.481369	1.51763
ENSPTRG00000000406	0.880104	0.392157	0.57362
ENSPTRG00000000408	0	0	0
ENSPTRG00000000409	13.6034	10.7294	35.2267
ENSPTRG00000000410	7.57684	3.98991	6.16053
ENSPTRG00000000411	2.405885	0.775775	2.178552
ENSPTRG00000000413	338.639	349.842	744.806
ENSPTRG00000000414	8.49305	6.04816	8.7464
ENSPTRG00000000416	50.029953	43.900621	48.5361
ENSPTRG00000000417	19.4774	18.467	22.1484
ENSPTRG00000000419	14.217527	8.00388	24.7409
ENSPTRG00000000420	21.7078	18.9635	21.6726
ENSPTRG00000000421	0.351834	0.6030876	0.607441518
ENSPTRG00000000422	16.3391	14.7687	19.1726
ENSPTRG00000000423	7.624367	5.41157	5.62328
ENSPTRG00000000424	1.518	3.53796	10.5402
ENSPTRG00000000426	115.2035	104.4281	64.329475
ENSPTRG00000000428	684.9812	671.86886	303.88204
ENSPTRG00000000429	5.01605	5.3542	7.74767
ENSPTRG00000000431	8.55967	8.47434	5.54387
ENSPTRG00000000432	1.921551	2.480845	3.2501897
ENSPTRG00000000434	12.773	13.0174	18.2133
ENSPTRG00000000436	2.32501	2.881	3.672
ENSPTRG00000000437	11.134178	15.490287	12.973
ENSPTRG00000000438	2.01618	2.25424	2.61067
ENSPTRG00000000439	20.3117	17.99576	17.2417300006872
ENSPTRG00000000440	1.66726	0.587305	0.537943
ENSPTRG00000000442	4.76977	4.442235090422	4.186213
ENSPTRG00000000444	0.246707	0.201212	1.29556
ENSPTRG00000000445	57.0286	40.5396	60.3888
ENSPTRG00000000446	16.5001	13.6231	20.1576
ENSPTRG00000000447	12.82427	13.567894	7.666816
ENSPTRG00000000449	2.79725	3.09832	9.72438
ENSPTRG00000000450	50.8862	65.8474	247.458
ENSPTRG00000000451	83.7585	50.9207	68.2641
ENSPTRG00000000453	42.41705	29.970077	17.3346000048765
ENSPTRG00000000454	3.16446	3.80755	1.25809
ENSPTRG00000000455	24.5496	20.8467	19.5029
ENSPTRG00000000456	111.97786	106.10291	51.94762
ENSPTRG00000000457	74.1761	96.401	49.42606
ENSPTRG00000000458	1.43125	1.037421	10.338726
ENSPTRG00000000461	4.555810179713	4.1259	6.013
ENSPTRG00000000462	1.026008	0.913205	1.242158
ENSPTRG00000000463	38.4005	40.9322	42.3419
ENSPTRG00000000464	13.540172	4.8328925	58.48314
ENSPTRG00000000465	33.91333	26.305762	17.72873
ENSPTRG00000000466	0.29659	0.264192	2.72198
ENSPTRG00000000469	43.453093	37.5977	41.1774
ENSPTRG00000000470	8.524868	5.638612	7.91812
ENSPTRG00000000471	9.162137	9.204042	14.02649
ENSPTRG00000000472	14.5457	10.9398	16.4503
ENSPTRG00000000473	8.336955	4.2312718	5.079544
ENSPTRG00000000474	6.736	4.26287	4.21713
ENSPTRG00000000475	6.57936	3.27326	3.83313
ENSPTRG00000000476	102.207	105.68	88.0026
ENSPTRG00000000478	0.629721	0.571026	0.530927
ENSPTRG00000000479	0	0.267668	0.386342
ENSPTRG00000000482	158.063	140.699	216.358
ENSPTRG00000000483	0.84853	0.440642	1.83079
ENSPTRG00000000484	48.5606	40.45088	39.703145
ENSPTRG00000000485	1.90945	1.51997	0.943948
ENSPTRG00000000489	6.81389	6.09532	5.018215
ENSPTRG00000000490	7.033593	5.670563	4.4490804
ENSPTRG00000000491	69.6215	70.412511	46.780137
ENSPTRG00000000492	9.265992	8.19728	7.877673
ENSPTRG00000000493	11.75356	17.40881	6.05336
ENSPTRG00000000494	31.3206	37.095	23.0815
ENSPTRG00000000495	34.4746	45.6498	17.0484
ENSPTRG00000000496	22.33261	16.92468	30.04914
ENSPTRG00000000499	215.08473	152.32012	251.95767
ENSPTRG00000000501	13.28048	17.357914	52.25934
ENSPTRG00000000502	5.72603	4.58624	8.24403
ENSPTRG00000000503	12.66495	9.5879	21.60717
ENSPTRG00000000505	48.79281	29.54201	87.835341
ENSPTRG00000000506	0.888776	0.580411	0.470128
ENSPTRG00000000507	2.364048914	0.754211	1.22569542015
ENSPTRG00000000512	0.257282	0.262583	0.0910869
ENSPTRG00000000513	98.5677	84.3943	44.0464
ENSPTRG00000000514	6.87418	6.62506	4.47294
ENSPTRG00000000515	4.45766	3.49517	5.14433
ENSPTRG00000000516	2.5657	1.84426	1.76229
ENSPTRG00000000518	71.7006	50.1189	89.4769
ENSPTRG00000000519	9.151	8.70696	5.72721
ENSPTRG00000000521	17.9515	16.786	17.0694
ENSPTRG00000000522	163.838	170.816	98.9559
ENSPTRG00000000523	1.53091	0.788989	1.98965
ENSPTRG00000000524	48.3082	46.8279	72.5845
ENSPTRG00000000526	1.83768	2.093651	1.920438
ENSPTRG00000000527	5.103814	3.11367	6.715388
ENSPTRG00000000528	3.97049	2.20924	5.2707645777
ENSPTRG00000000529	2.305251	2.464917	4.51087
ENSPTRG00000000531	23.7082	19.6074	38.183
ENSPTRG00000000532	0.719069	1.13347	17.810696
ENSPTRG00000000533	85.3994	83.60641	70.2562
ENSPTRG00000000534	113.199728	105.595943	168.86202
ENSPTRG00000000535	38.9215	34.7784	41.3701
ENSPTRG00000000537	7.29895	8.68087	6.48733
ENSPTRG00000000538	12.90969	11.27642	19.32007
ENSPTRG00000000539	196.777	192.284	132.317
ENSPTRG00000000540	20.37835	11.374186	6.108559
ENSPTRG00000000541	35.5244	36.6022	28.4383
ENSPTRG00000000542	3.523617	4.87311	27.638457
ENSPTRG00000000543	3.73513	3.74222	6.063878
ENSPTRG00000000544	2.9478	0.554196	3.6642
ENSPTRG00000000547	5.47467	4.30944	9.71146
ENSPTRG00000000548	20.3453	9.39929	2.46059
ENSPTRG00000000549	16.9403	14.9261	20.1112
ENSPTRG00000000550	0.0684406	0.167367	0.291311
ENSPTRG00000000551	2.63555	2.27187	3.33785
ENSPTRG00000000552	0.737893	0.283481	3.36492
ENSPTRG00000000553	9.66642	6.214126	5.053713
ENSPTRG00000000556	18.93298	19.67027	10.79432
ENSPTRG00000000557	16.2344	12.7049	12.7655
ENSPTRG00000000558	141.4034	108.5773	269.571
ENSPTRG00000000559	48.5841	42.6837	47.6927
ENSPTRG00000000560	5.92976	7.8862	10.1201
ENSPTRG00000000561	23.67515	15.7636	17.68914
ENSPTRG00000000563	160.048	149.554	106.608
ENSPTRG00000000564	29.5759	28.2958	31.8743
ENSPTRG00000000566	1.7624	1.56664	4.23676
ENSPTRG00000000567	0.521869	0	0
ENSPTRG00000000568	390.511	444.635	190.013
ENSPTRG00000000572	3.84581	0.447719	2.99447
ENSPTRG00000000573	18.34446	23.13465	33.9539
ENSPTRG00000000575	2.20981	2.12172	1.62618
ENSPTRG00000000576	70.5417	60.1309	24.41674
ENSPTRG00000000577	42.83964	33.146343	50.971912
ENSPTRG00000000578	2.79148	2.46469	2.0215
ENSPTRG00000000579	11.829165	9.424067	9.227544
ENSPTRG00000000580	0.475117	0.905224	1.31981
ENSPTRG00000000581	10.7822	8.21244	21.5373
ENSPTRG00000000583	75.4067	78.6232	107.2576
ENSPTRG00000000584	78.50035	82.371461	99.56851
ENSPTRG00000000585	6.85243	3.02488	6.16526
ENSPTRG00000000586	0	0	0
ENSPTRG00000000587	13.0704	13.2116	15.073416
ENSPTRG00000000589	37.40520010756	38.2579	47.088032
ENSPTRG00000000590	0.781758	0.478624	0.398123
ENSPTRG00000000591	3.20049	2.27223	4.73093
ENSPTRG00000000592	4.89666	4.31448	5.21987
ENSPTRG00000000593	7.42264	2.422563	6.85487
ENSPTRG00000000594	22.668	20.5279	12.0035
ENSPTRG00000000596	20.593468	19.52046	17.83355
ENSPTRG00000000597	1.559156	0.937765	1.387869
ENSPTRG00000000598	20.7852	11.4664	25.6596
ENSPTRG00000000599	10.3602	9.51028	7.84076
ENSPTRG00000000600	2.716969	2.110411	0.227236546
ENSPTRG00000000601	16.9390339	11.2138795972	10.648923
ENSPTRG00000000602	0.0714568	0	0
ENSPTRG00000000603	1.587775	1.429746	1.747749
ENSPTRG00000000604	0	0	0
ENSPTRG00000000606	16.3053	15.365217	16.960848
ENSPTRG00000000607	6.81605	7.03608	4.68055
ENSPTRG00000000608	8.06344	5.39274	1.94687
ENSPTRG00000000612	0	0	3.31707
ENSPTRG00000000614	38.80194	38.27466	34.14194
ENSPTRG00000000616	0	0	0
ENSPTRG00000000617	6.360823	2.43457	8.694355
ENSPTRG00000000618	22.6102	24.5305	10.6188
ENSPTRG00000000621	4.252674	3.41337	4.7111908
ENSPTRG00000000622	4.040899	4.493805	2.916191
ENSPTRG00000000623	30.34055	22.23919	56.4351
ENSPTRG00000000624	36.8626	11.69922	2.243158
ENSPTRG00000000625	62.0772	60.1395	29.8266
ENSPTRG00000000626	2.39684	1.3554	1.02149
ENSPTRG00000000631	0.669915	0.840081	9.618129
ENSPTRG00000000634	0.440929	0.41129	15.8175
ENSPTRG00000000635	16.8049	24.097406	160.72045
ENSPTRG00000000636	17.4362506	19.3524000245354	27.93494
ENSPTRG00000000639	2.568269	1.542073	6.82186819
ENSPTRG00000000640	17.88045	15.48683	35.6021
ENSPTRG00000000641	26.117872	20.763253	28.067597
ENSPTRG00000000643	9.32393	7.84189	9.84445
ENSPTRG00000000644	18.610813	21.226006	15.42541
ENSPTRG00000000645	2.945431	1.8034	1.39402
ENSPTRG00000000646	27.1715	26.7915775	54.81469
ENSPTRG00000000648	189.19159	180.93828	125.62608
ENSPTRG00000000649	50.9625	45.1384	24.10196
ENSPTRG00000000650	14.99993	11.19833	5.250077
ENSPTRG00000000652	0.25926	0.141029	0.657094
ENSPTRG00000000655	62.66155	65.438	63.821115
ENSPTRG00000000656	83.1291	102.47433	124.2823
ENSPTRG00000000657	14.310369	19.53317	30.93661
ENSPTRG00000000658	1.22165	1.215491	7.556751
ENSPTRG00000000659	715.709	694.82	738
ENSPTRG00000000661	2.44302	1.0669427	2.46742
ENSPTRG00000000662	7.78772	3.94447	10.2846
ENSPTRG00000000663	0.921047	0.150114	0.177203
ENSPTRG00000000664	9.13096	4.23425	4.95448
ENSPTRG00000000665	28.4651204437	24.788003	20.5393316
ENSPTRG00000000667	8.9434640489	9.077277	14.0797
ENSPTRG00000000668	73.293195	70.8619	60.85874
ENSPTRG00000000669	1.57895	1.42497	1.59441
ENSPTRG00000000670	2.75936	3.45717	7.12917
ENSPTRG00000000672	9.75458	7.528378	9.05003
ENSPTRG00000000673	1.58201	2.25708	15.9811
ENSPTRG00000000675	480.833	468.691	503.869
ENSPTRG00000000676	57.696	67.1487	68.91095
ENSPTRG00000000677	30.949334	17.984985	23.97415160968
ENSPTRG00000000679	0.875976	0.483754	1.80744
ENSPTRG00000000680	15.9835	17.091	17.6859
ENSPTRG00000000681	16.4283	14.7941	14.9793
ENSPTRG00000000683	19.18067	18.7974	22.68022
ENSPTRG00000000685	9.36859	12.7458	5.568388
ENSPTRG00000000686	0.357284	0.174947	0.474526
ENSPTRG00000000687	33.882486	26.913579	37.57317
ENSPTRG00000000688	4.32403	2.90563	5.7202
ENSPTRG00000000689	0.671239	0.876522	1.26136
ENSPTRG00000000690	25.6226	18.5748	24.7442
ENSPTRG00000000691	400.86	470.427	202.18708
ENSPTRG00000000692	6.09289	4.63101	4.457
ENSPTRG00000000693	26.082954	25.516138	31.7288
ENSPTRG00000000697	5.034	3.80639	2.741332
ENSPTRG00000000701	24.3222	23.3732	30.3658
ENSPTRG00000000702	0	0	0
ENSPTRG00000000705	0.335934	1.24056	0.190641
ENSPTRG00000000706	5.51626	4.29198	0.949704
ENSPTRG00000000707	0.936986	0.424652	0.0991665
ENSPTRG00000000708	0.40769	0.460459	0
ENSPTRG00000000709	0.497327	0	0.712358
ENSPTRG00000000711	0.608996	0.616656	2.05405
ENSPTRG00000000712	42.7948	44.0772	44.63633
ENSPTRG00000000716	0.1920489	0.3070435	1.042096
ENSPTRG00000000718	4.197628	2.41968	11.36448282
