sample_SRR3879744	sample_SRR3879745	sample_SRR3879746
ENSCHIG00000000204	14.6313	22.7797	18.0108
ENSCHIG00000000205	7.754507	11.4208012	7.950532
ENSCHIG00000000206	1.87482	1.65353	1.76409
ENSCHIG00000000207	13.3964	15.8524	14.1713
ENSCHIG00000000208	0.0860079	0.136057	0.175167
ENSCHIG00000000209	3.19773	2.23451	5.42007
ENSCHIG00000000210	4.56309	5.19562	7.94144
ENSCHIG00000000211	163.215	144.43	126.384
ENSCHIG00000000212	28.6081118	33.905178	36.949847
ENSCHIG00000000213	47.2075	48.4079	43.1238
ENSCHIG00000000214	24.1143	21.2097	18.021
ENSCHIG00000000215	134.9702	158.4391	133.5446
ENSCHIG00000000216	5.45521	6.39982	6.06109
ENSCHIG00000000217	2.80393	0.195505	2.93074
ENSCHIG00000000218	216.756	292.928	391.435
ENSCHIG00000000219	0.0336537	0.0181673	0.139302
ENSCHIG00000000220	0.0300152	0.0572253	0.177932
ENSCHIG00000000221	0	0	0.137448
ENSCHIG00000000222	0	0	0
ENSCHIG00000000223	1.011662	1.870042	0.805784
ENSCHIG00000000224	11.9890594	17.780559	15.088289
ENSCHIG00000000225	15.983035	25.735795	21.59261
ENSCHIG00000000226	2.91295	3.40159	3.16577
ENSCHIG00000000227	0	0	0
ENSCHIG00000000228	14.686305	21.0637	18.15256
ENSCHIG00000000229	5.3637	6.93688	6.97908
ENSCHIG00000000230	93.9417	44.5541	46.4389
ENSCHIG00000000231	0	0	0
ENSCHIG00000000232	0.0925265	0.060735839632	0.07737796846
ENSCHIG00000000233	1.62104	1.43523	1.99138
ENSCHIG00000000234	2.20554	6.76654	6.67965
ENSCHIG00000000235	127.894	115.865	102.323
ENSCHIG00000000236	1.09741	0	0
ENSCHIG00000000237	0	0	0
ENSCHIG00000000238	243.106	272.475	243.564
ENSCHIG00000000239	6.55045	7.16105	6.9403
ENSCHIG00000000240	32.0922	41.715	37.5123
ENSCHIG00000000241	5.443377	7.87294	7.10225
ENSCHIG00000000242	34.85679	35.70159	31.13762
ENSCHIG00000000243	1.59692	1.74253	2.44336
ENSCHIG00000000244	54.772783	61.14078	54.276792
ENSCHIG00000000245	9.16163	9.23098	11.4693
ENSCHIG00000000246	3.24133	4.28304	4.82828
ENSCHIG00000000247	21.6127	16.5981	18.4826
ENSCHIG00000000248	29.8456	32.0831	32.0243
ENSCHIG00000000249	6.9882	7.86495	8.66857
ENSCHIG00000000250	5.2511	5.0662	5.52707
ENSCHIG00000000251	0	0	0.162285
ENSCHIG00000000252	0	0	0
ENSCHIG00000000253	2.613256	2.368709	7.8643
ENSCHIG00000000254	7.33957	5.07718	6.500039
ENSCHIG00000000255	0.358129	0.521121	0.55082
ENSCHIG00000000256	3.47708	1.70425	4.14113
ENSCHIG00000000257	5.7268	6.26629	7.4246
ENSCHIG00000000258	0.125557	0.0923463	0
ENSCHIG00000000259	0.20114	0.331999	0.697723
ENSCHIG00000000260	0.124348	0	0.11393
ENSCHIG00000000261	0	0	0
ENSCHIG00000000262	1.85098	4.67054	3.54232
ENSCHIG00000000263	0.0243717	0.0261343	0.0334708
ENSCHIG00000000264	5.09829	9.3039	4.65836
ENSCHIG00000000265	0.92062	0.46199	1.30884
ENSCHIG00000000266	0.0822036	0	0
ENSCHIG00000000267	0	0	0
ENSCHIG00000000268	0.0616005	0.328375	0.210663
ENSCHIG00000000269	10.3785	16.8736	16.8068
ENSCHIG00000000270	0	0	0
ENSCHIG00000000271	0.102847	0.107661	0.138901
ENSCHIG00000000272	0	0	0
ENSCHIG00000000273	4.39275	5.71948	7.06624
ENSCHIG00000000274	0.677031	1.00371	0.748423
ENSCHIG00000000275	0	0	0
ENSCHIG00000000276	0	3.0038	0
ENSCHIG00000000277	82.8443	122.434	107.054
ENSCHIG00000000278	258.590676	305.53289	265.99639
ENSCHIG00000000279	4.82047	4.24896	3.82921
ENSCHIG00000000280	5.36514	4.92922	4.27161
ENSCHIG00000000281	1.26607	2.63256	1.5531
ENSCHIG00000000282	2.709278	3.57810712	4.543839
ENSCHIG00000000283	4.75113	6.8058	6.36931
ENSCHIG00000000284	3.63264	4.91827	5.68654
ENSCHIG00000000285	24.540945	23.477345	21.568521
ENSCHIG00000000286	66.9131	54.0778	51.2332
ENSCHIG00000000287	38.37015003076	35.21768265	49.60968
ENSCHIG00000000288	1.67079	2.7564	1.39616
ENSCHIG00000000289	60.7288	50.6643	47.3219
ENSCHIG00000000290	42.4064	40.4305	27.9498
ENSCHIG00000000291	0.0443024	0.168289	0.0766813
ENSCHIG00000000292	18.8213	26.0069	24.5111
ENSCHIG00000000293	20.7979	28.7518	24.8839
ENSCHIG00000000294	9.63706	8.98628	11.1468
ENSCHIG00000000295	0	0.235788	0.0761732
ENSCHIG00000000296	1402.56	1223.13	1297.12
ENSCHIG00000000297	0.799107	0.738683	0.31556
ENSCHIG00000000298	12.8996	11.3777	14.0118
ENSCHIG00000000299	30.4889	45.007	33.7298
ENSCHIG00000000300	4.79296	4.82482	6.0687
ENSCHIG00000000301	1.91056	27.849	20.1392
ENSCHIG00000000302	24.8262	29.5875	21.7021
ENSCHIG00000000303	2.49558	4.92885	2.65725
ENSCHIG00000000304	13.110617	15.841021	15.034668
ENSCHIG00000000305	13.9385	6.22632	8.30627
ENSCHIG00000000306	1.12009	1.08218	1.2997
ENSCHIG00000000307	24.4705	35.3054	29.289
ENSCHIG00000000308	198.7034	144.6994	132.8159
ENSCHIG00000000309	0.269196	0.239074	0.287092
ENSCHIG00000000310	24.4584	36.2724	29.4423
ENSCHIG00000000311	1.72859	1.60286	2.61277
ENSCHIG00000000312	76.684098	72.8871	70.9561
ENSCHIG00000000313	1.66542	2.10946	2.40385
ENSCHIG00000000314	6.76182	6.8173	8.14762
ENSCHIG00000000315	97.4151	75.2918	87.191
ENSCHIG00000000316	0	0	0
ENSCHIG00000000317	9.77174	11.171	10.8381
ENSCHIG00000000318	0	0	0
ENSCHIG00000000319	18.35743	22.86312	20.50584
ENSCHIG00000000320	4.45868	4.99516	4.8836
ENSCHIG00000000321	10.91488	11.01602	19.99525
ENSCHIG00000000322	16.220299	17.258106	16.51394
ENSCHIG00000000323	0.0243542	0.0261159	0.0668941
ENSCHIG00000000324	8.687787	10.810632	11.52111
ENSCHIG00000000325	3.32127	3.53767	3.71361
ENSCHIG00000000326	0	0	0
ENSCHIG00000000327	11.337448	17.756892	11.191435
ENSCHIG00000000328	18.40946	21.52511	19.86085
ENSCHIG00000000329	10.1095	9.33801	14.9151
ENSCHIG00000000330	1.16662	1.13266	1.55497
ENSCHIG00000000331	2.856498	3.20559	3.24982
ENSCHIG00000000332	0.0362388	1.02478e-09	0
ENSCHIG00000000333	0.186717	0	0.126463
ENSCHIG00000000334	357.445	297.612	294.341
ENSCHIG00000000335	0	0	0
ENSCHIG00000000336	2.24207	3.57355	3.38469
ENSCHIG00000000337	0.12717	0.749484	0.327894
ENSCHIG00000000338	0.346187	1.21934	0.746947
ENSCHIG00000000339	0	0	0
ENSCHIG00000000340	57.1132	76.0763	66.0481
ENSCHIG00000000341	0.679369	0	0
ENSCHIG00000000342	0	0.301594	0.411657
ENSCHIG00000000343	18.3327	12.5705	21.3159
ENSCHIG00000000344	0	0.178734	0.475214
ENSCHIG00000000345	1.51354	3.06199	2.11335
ENSCHIG00000000346	1174.78	1181.12	1940.05
ENSCHIG00000000347	21.71503	35.22874	27.03362
ENSCHIG00000000348	14.858398	11.795341	12.165132
ENSCHIG00000000349	4.721643	4.5677	5.0226
ENSCHIG00000000350	42.51174	49.21462	57.19832
ENSCHIG00000000351	1.212333	2.13907	2.69234
ENSCHIG00000000352	9.63079	12.889953	12.2038
ENSCHIG00000000353	2.998734	2.68113	3.026292
ENSCHIG00000000354	17.175161	17.011	18.693072
ENSCHIG00000000355	42.1204	41.0895	39.04
ENSCHIG00000000356	0.450841	0.847455	0.662581
ENSCHIG00000000357	2.62045	2.37769	3.5357
ENSCHIG00000000358	2952.365	3312.75	3458.544
ENSCHIG00000000359	0.956215	0.832041	0.532194
ENSCHIG00000000360	1.40772	1.42431	1.63296
ENSCHIG00000000361	71.3131	101.669	91.775
ENSCHIG00000000362	23.7714	26.5685	23.69
ENSCHIG00000000363	0	0	0
ENSCHIG00000000364	31.9331	48.89075	31.5864
ENSCHIG00000000365	77.294	79.4348	83.403
ENSCHIG00000000366	91.2274	107.949	82.1877
ENSCHIG00000000367	3.02753	3.67528	4.59022
ENSCHIG00000000368	0.7132	1.96562	1.10983
ENSCHIG00000000369	8.413	18.2232	13.073962
ENSCHIG00000000370	11.4254	18.2192	16.5615
ENSCHIG00000000371	2.88549	2.79671	3.64242
ENSCHIG00000000372	0	0	0
ENSCHIG00000000373	2.49942	3.82903	3.0723
